0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,0,0,3,0,0,10,14,1,0,0,0,10,0,0,0,0,0,8,0,7,0,0,0,0,0,4,0,0,1,0,0,1,2,42,0,0,21,0,0,14,0,0,0,0,0,3,2,16,16,0,1,0,4,4,1,0,0,0,0,0,0,7,29,1,0,0,0,2,4,0,0,13,0,0,15,0,32,0,0,6
0,0,26,0,14,0,7,0,0,0,0,25,6,0,0,0,0,2,5,0,28,10,0,0,0,0,0,3,0,11,0,0,0,16,0,0,0,28,4,0,0,12,0,0,0,0,0,0,17,0,0,19,0,19,0,8,0,3,3,1,0,0,0,3,0,0,0,4,0,0,0,39,0,0,0,0,1,0,20,41,0
0,0,0,0,0,0,4,19,0,0,0,6,0,14,14,0,0,0,0,4,0,0,0,0,0,0,8,16,1,13,43,0,2,0,0,0,0,0,0,0,27,0,0,4,10,0,2,0,0,0,0,0,2,0,23,24,0,31,29,0,3,0,0,0,0,0,0,0,0,33,13,0,26,0,0,4,0,2,8,0,0
0,3,14,1,1,0,0,0,0,0,5,0,20,0,0,0,0,16,0,0,1,0,18,0,0,0,1,5,0,0,0,0,28,0,34,0,12,1,0,0,1,0,0,34,0,0,0,0,0,30,29,0,0,0,0,4,13,13,0,0,12,0,0,0,0,0,39,0,0,0,7,2,0,0,3,0,0,36,10,0,3
0,0,16,0,42,5,0,0,0,0,0,0,0,2,0,0,20,4,0,4,18,0,0,20,0,0,0,0,0,0,3,1,0,0,0,14,6,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,16,3,0,0,0,0,14,1,1,0,0,0,22,0,0,0,0,0,0,0,0,24,33,0,0,3,0
0,0,0,0,10,0,9,0,0,0,2,0,1,3,0,1,0,3,1,6,0,0,0,0,0,0,0,3,8,0,3,0,0,0,10,0,0,0,0,0,5,0,0,0,3,0,0,3,30,0,34,0,0,3,26,0,9,0,23,0,0,0,0,0,0,0,0,22,0,12,5,4,0,0,0,3,0,1,0,0,0
0,19,0,0,0,0,0,16,0,0,0,0,24,0,0,0,18,0,5,0,0,0,0,3,2,0,0,0,14,0,0,3,0,0,11,0,0,0,0,0,5,4,2,0,0,12,8,0,0,0,0,0,0,0,5,0,31,0,0,0,0,0,7,0,0,1,11,27,12,0,0,2,6,0,0,0,28,0,12,1,0
0,0,0,0,0,8,0,33,20,30,0,1,0,0,0,0,0,19,0,5,2,0,43,42,0,0,0,0,0,27,0,13,0,0,10,0,0,0,0,0,0,0,35,27,0,0,0,0,38,0,20,34,0,0,7,0,0,7,18,0,0,0,1,15,0,0,0,0,0,11,9,0,3,0,0,8,0,0,0,0,1
20,39,0,0,0,0,0,0,0,32,41,0,0,0,0,0,2,0,0,0,17,23,1,0,0,9,0,7,22,39,0,0,13,0,0,0,0,0,1,0,0,0,0,21,6,32,0,0,6,6,0,25,0,0,0,0,3,5,0,0,3,3,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,12,0,0,0
0,13,0,0,0,0,0,0,14,0,0,0,0,11,0,17,0,15,3,9,18,0,10,9,0,0,0,0,0,0,2,0,0,9,34,0,0,2,0,31,0,0,2,9,0,17,41,1,0,19,0,0,0,0,0,0,0,6,0,8,0,29,0,0,0,22,0,0,0,2,0,0,3,0,0,0,0,0,0,20,2
