0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
,,,1.854,,,8.65,1.726,0.782,,1.44,1.588,2.725,2.741,,,,,2.029,,2.803,,,,9.639,,0.744,,,1.034,,1.65,4.192,2.351,1.774,,,5.382,4.719,24.727,11.204,,,,1.296,,3.191,4.178,2.427,1.898,17.773,7.362,,2.645,22.153,2.155,,,,2.952,,1.785,3.537,12.867,0.596,,,,3.418,2.559,13.395,,4.24,,,4.673,,1.993,,,3.453
,3.234,2.826,,,,,,,2.128,,,,1.68,2.774,,6.824,,,,,,3.259,11.474,2.708,,1.339,1.311,,3.995,4.909,11.024,,0.663,,,3.912,,,2.731,0.511,,5.707,3.505,2.163,5.11,18.201,,12.095,,,,3.696,0.363,,6.794,10.104,3.111,,1.663,2.063,2.561,,,2.29,,2.951,4.859,1.952,1.749,,1.658,,1.463,5.247,,,5.855,,5.044,3.518
,,2.767,,2.909,,1.622,,,,,12.725,4.145,,,3.839,,1.354,10.947,2.909,0.905,1.777,,1.514,,,,5.141,,2.941,,,2.165,12.846,2.867,,,2.028,5.106,,,2.199,,2.643,3.683,,3.377,,3.374,3.795,,1.252,,2.709,8.056,2.924,,2.669,1.501,3.933,,17.552,,1.544,7.636,,,1.605,,,6.158,0.605,11.78,,,,3.983,,4.604,0.659,11.649
,,1.776,,,5.693,1.606,5.969,4.984,,3.999,2.488,,2.281,2.287,,,,,1.391,3.213,7.301,,,,,2.229,2.1,2.732,17.245,5.604,,3.941,,,,3.308,,,,1.727,6.795,2.881,0.484,2.66,1.945,3.926,,,3.915,,,7.22,12.738,7.486,5.389,,1.623,3.894,,1.812,,,8.289,,,,2.303,,3.281,1.493,,1.38,,,4.29,,4.128,5.211,8.828,
,2.336,12.511,7.881,5.56,,,,,,2.39,,3.744,,,,,12.764,,,0.654,,4.509,,,1.891,0.606,6.623,,,,,8.661,2.171,2.806,,4.157,4.916,,,1.427,,2.165,0.605,5.206,9.455,,2.742,,2.035,2.684,,,,7.962999999999999,1.719,2.272,2.539,,5.924,1.679,2.046,,2.059,,,2.912,23.621,2.616,,5.145,4.044,,1.978,2.384,,,2.926,2.815,,3.231
,,1.733,1.682,2.02,2.842,,,,4.355,,4.606,,,,4.006,,0.924,2.194,,,,2.487,,5.224,4.123,,,5.276,,1.605,,3.101,,,1.778,,,,2.026,2.607,,2.276,5.995,0.709,2.244,1.778,1.338,,,3.548,,3.978,9.719,,,0.53,1.828,4.552,2.023,4.261,1.755,,5.139,1.699,18.601,,,3.573,,0.947,,,2.269,,,,0.543,5.592,2.426,2.089
,,2.574,,1.437,5.622,,5.409,,,,,,2.174,,1.839,0.888,4.686,5.416,1.763,2.778,,,6.288,3.684,,,4.05,,,4.908,1.559,,,,11.521,5.717,8.628,3.842,6.386,,,6.598,,3.269,,,,12.862,,5.627,,2.045,1.093,2.791,2.437,,,,6.247,3.481,0.432,2.742,3.418,2.247,,4.278,2.327,,,3.166,,9.218,,,1.957,1.954,,2.499,5.442,
,,,,1.283,,12.438,,,,2.613,,0.574,5.853,,1.421,,7.506,0.664,3.188,,6.477,,,,,2.944,1.695,2.547,2.667,8.068,,,,2.347,2.748,6.959,,30.511,,22.051,2.854,1.905,,1.742,,,2.379,7.18,,1.519,,,1.742,1.656,1.707,6.618,,0.588,,,6.539,,,,,,3.565,4.518,2.102,1.682,1.738,30.734,2.357,,4.088,3.608,0.797,,11.41,
,5.037,,,,,,2.164,7.462,,,1.014,5.019,,3.65,,3.239,,1.914,16.472,7.67,14.168,,2.329,3.132,,,,8.506,,,11.618,,2.883,0.849,,,5.242,,,13.394,4.884,1.266,,30.76,11.347,3.706,14.198,5.468,2.556,,,,11.585,1.409,,1.4,,,,,2.609,1.257,6.237,,0.579,3.721,3.045,2.455,,,3.089,4.362,,,,2.503,8.556,4.102,6.057,
,,,,3.1,2.868,,0.756,3.914,1.244,,3.373,,,4.483,,,5.11,,2.642,6.762,,0.973,3.392,,,,,10.219,1.371,,2.056,2.943,,1.653,,,1.604,2.682,,,2.649,6.788,0.419,8.903,,2.343,,6.02,,3.046,2.638,,,3.479,,4.609,2.293,2.845,,3.184,,3.756,4.338,2.691,,1.434,,,11.791,3.334,,2.493,,13.139,2.987,2.615,,,,0.88
