cluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,1.805,2.375,0.799,1.531,1.961,6.44,2.239,12.307,7.411,5.118,2.048,16.19,10.371,2.51,1.57,2.46,3.074,1.751,4.235,3.049,2.909,4.345,1.256,2.646,5.955,8.285,0.912,2.461,0.42,4.567,1.691,1.602,6.038,3.251,3.411,5.714,0.85,10.39,2.193,1.403,1.83,2.666,3.006,2.387,2.991,0.94,3.943,1.8,1.379,0.81,0,0
0,4.928,5.03,2.246,2.058,3.165,5.917,3.833,9.574,2.478,0.384,4.515,21.512,4.069,3.71,8.913,6.158,11.139,4.132,7.987,2.779,1.178,2.447,0.801,2.513,11.399,3.217,1.28,2.463,2.687,0.55,2.579,2.302,2.196,2.1,1.194,1.852,2.056,2.548,4.442,1.32,5.816,0.451,1.334,0.309,1.582,3.303,0.364,3.659,1.596,0.886,0.514,1.491
1,13.395,2.952,1.854,22.153,1.588,1.44,2.803,2.029,2.741,2.725,9.639,0.744,8.65,1.726,0.782,17.773,1.296,3.453,3.537,2.645,5.382,1.65,3.191,24.727,4.673,2.427,4.719,4.178,1.034,12.867,4.24,1.993,4.192,3.418,11.204,1.898,7.362,1.785,2.155,0.596,2.559,1.774,2.351,0,0,0,0,0,0,0,0,0
1,3.839,7.636,5.141,3.377,10.947,4.145,1.622,1.354,2.867,2.643,2.941,3.795,1.514,2.909,1.777,2.165,12.846,3.683,2.709,1.252,3.374,2.199,3.933,2.669,12.725,2.767,2.909,0.905,5.106,2.028,2.924,17.552,8.056,1.501,11.78,1.544,4.604,11.649,0.605,6.158,0.659,3.983,1.605,0,0,0,0,0,0,0,0,0
1,3.213,3.308,7.301,1.776,3.999,2.488,1.391,2.229,4.984,5.693,6.795,1.945,17.245,2.732,3.926,2.1,12.738,2.66,3.915,7.22,2.881,0.484,7.486,5.389,8.289,1.38,2.303,4.128,3.894,4.29,1.623,1.812,3.281,8.828,1.493,1.294,1.513,2.404,5.969,1.606,2.281,2.287,5.604,3.941,1.727,0,0,0,0,0,0,0
1,7.881,1.891,2.165,2.742,1.978,2.616,2.384,9.455,23.621,2.046,5.924,2.059,2.272,12.511,0.654,12.764,0.606,4.509,5.56,3.744,2.39,2.336,2.736,1.463,3.764,1.719,4.916,8.661,2.684,2.035,1.427,2.171,6.623,2.806,5.206,0.605,4.044,3.231,2.539,2.912,2.926,2.815,5.145,1.679,4.157,0,0,0,0,0,0,0
1,4.006,3.978,4.606,5.224,1.733,5.276,2.607,2.842,2.02,1.682,2.487,3.548,1.828,5.995,1.778,4.355,2.194,4.123,0.924,9.719,2.276,1.778,0.709,2.089,4.552,2.026,3.101,1.605,2.244,1.338,5.139,2.426,13.916,0.53,4.685,1.699,2.269,5.592,0.543,3.573,2.023,4.261,1.755,0.947,0,0,0,0,0,0,0,0
1,5.416,9.218,4.05,2.045,5.622,6.386,3.269,5.627,8.628,12.862,1.093,6.247,3.418,2.499,4.686,2.574,3.842,2.778,1.839,6.288,3.684,1.763,5.717,6.598,11.521,2.742,2.247,2.791,2.437,2.327,3.166,4.278,1.954,1.957,4.908,1.559,5.442,3.481,0.432,5.409,0.888,1.437,2.174,0,0,0,0,0,0,0,0,0
1,2.944,3.153,1.355,3.608,6.477,3.188,0.664,2.613,12.438,1.283,5.853,0.574,4.518,2.031,30.511,22.051,30.734,11.41,2.357,4.088,0.797,3.565,0.588,6.618,1.707,1.656,2.547,6.959,1.695,7.18,1.905,8.068,2.854,1.519,2.667,1.742,2.379,2.748,2.347,1.742,7.506,1.421,2.102,1.682,1.738,0,0,0,0,0,0,0
1,3.373,2.691,2.615,4.483,3.1,13.139,1.434,4.609,3.334,3.184,11.791,3.756,0.88,2.987,4.338,2.493,3.479,2.845,2.293,3.046,2.649,8.903,2.343,10.219,1.604,2.682,1.371,6.762,2.642,1.244,5.11,3.914,0.756,2.638,6.788,0.419,1.653,6.02,2.943,2.056,2.868,3.392,0.973,0,0,0,0,0,0,0,0,0
1,6.876,8.125,4.644,11.966,4.022,4.301,0.65,10.06,3.458,0.637,13.505,9.545,3.028,8.526,2.338,8.226,2.609,14.412,3.94,3.378,3.061,1.654,3.484,2.855,4.212,5.366,1.301,3.481,2.235,4.894,0.727,3.692,8.908,3.176,1.612,6.975,2.597,5.512,0.311,5.326,1.932,3.251,2.005,0,0,0,0,0,0,0,0,0
1,6.445,2.838,8.987,5.254,3.562,3.471,5.691,1.979,4.275,5.048,2.26,2.336,3.773,1.366,1.573,1.914,2.631,5.872,4.596,10.395,4.39,8.075,2.839,6.476,1.268,2.231,4.673,3.26,2.545,4.449,5.477,1.326,6.064,8.622,2.509,1.07,3.037,3.93,1.668,5.327,4.77,5.49,0.682,4.379,1.115,0,0,0,0,0,0,0
1,12.977,1.26,3.406,6.21,3.231,9.47,19.111,6.3,2.321,12.81,2.478,2.654,1.988,1.173,1.072,5.318,1.515,22.447,3.269,6.519,1.053,2.622,2.523,9.155,3.646,18.535,2.632,5.914,3.006,3.288,2.338,28.431,2.107,1.446,32.723,1.824,0.921,3.09,1.51,9.144,0.53,1.588,1.109,0,0,0,0,0,0,0,0,0
1,4.259,9.191,6.302,5.424,0.661,6.701,5.082,26.566,14.929,4.649,7.333,3.74,4.603,0.762,2.661,8.254,19.148,1.825,4.155,3.216,3.378,4.393,7.567,0.262,4.402,1.628,14.712,2.487,2.519,4.192,1.922,4.516,0.624,4.07,1.292,3.127,7.651,5.334,0.604,4.038,4.113,2.184,3.009,1.202,1.007,0,0,0,0,0,0,0
1,5.028,2.608,3.245,8.615,3.186,2.847,3.685,2.552,5.525,2.102,2.042,2.21,2.949,2.555,2.808,2.383,2.013,3.54,3.076,2.004,3.627,7.545,10.734,0.388,8.621,3.25,5.291,2.252,7.882,1.928,4.688,3.299,2.589,3.214,4.668,3.464,5.243,0.541,4.217,1.935,4.51,2.379,1.323,0,0,0,0,0,0,0,0,0
1,9.275,5.755,4.97,2.898,2.306,8.139,2.166,3.523,3.469,5.98,1.632,8.977,0.361,4.263,4.997,7.242,1.538,13.821,1.596,3.603,1.763,2.859,3.354,2.848,2.795,1.366,5.355,0.361,3.291,1.211,0.956,1.979,3.26,2.775,0.486,2.794,2.958,1.908,5.3,0.39,2.101,3.583,2.253,0,0,0,0,0,0,0,0,0
1,7.096,17.901,2.348,4.689,3.345,2.918,3.74,4.756,1.2,12.517,3.161,4.183,3.195,5.901,1.733,3.031,11.085,8.525,4.067,0.485,6.618,4.388,3.188,1.675,7.058,3.161,10,3.575,2.338,1.432,1.801,6.767,4.694,1.344,4.265,4.307,4.156,1.82,2.45,2.239,1.557,3.811,3.072,1.852,0.389,0,0,0,0,0,0,0
1,7.211,2.244,2.179,3.485,9.639,9.911,1.943,4.048,15.75,3.974,0.927,5.785,3.088,1.705,1.189,1.665,6.733,5.607,9.191,14.508,1.932,3.137,3.376,0.564,2.608,8.39,4.907,2.769,1.598,2.438,5.807,3.05,1.403,2.767,1.805,2.549,3.348,1.477,2.539,1.485,2.446,2.871,2.591,0,0,0,0,0,0,0,0,0
1,8.104,3.627,1.614,9.699,1.759,2.344,1.596,1.8,3.995,11.233,2.52,1.788,3.5,1.663,2.685,5.849,1.102,3.421,8.655,10.823,0.883,1.437,0.941,2.799,14.144,1.517,7.032,3.79,1.479,0.775,5.335,7.423,3.295,0.757,8.031,5.748,2.313,2.828,1.239,2.04,6.09,0.947,2.738,1.491,1.001,3.02,5.151,2.453,0.733,0,0,0
1,2.59,4.723,2.305,3.501,12.511,10.071,1.625,2.387,4.662,7.96,2.267,4.022,6.375,7.091,1.715,1.951,2.244,2.591,2.336,5.185,0.394,4.078,10.116,7.805,4.454,1.94,5.04,4.046,4.605,1.525,2.793,2.45,4.272,2.888,3.304,5.959,1.418,15.18,0.717,2.025,3.404,2.71,0.686,0,0,0,0,0,0,0,0,0
1,8.014,13.919,8.189,18.897,6.13,2.808,12.605,3.973,10.04,26.719,5.285,2.128,3.327,1.182,5.346,2.255,3.714,7.459,0.706,2.638,2.381,3.49,2.025,3.499,3.245,2.659,0.626,9.246,1.791,8.262,2.097,4.48,1.702,2.51,3.45,2.401,2.342,1.379,0.861,4.987,2.611,1.479,1.335,0,0,0,0,0,0,0,0,0
1,14.613,6.627,1.793,7.1,3.392,13.015,1.175,3.255,3.688,29.009,2.129,3.006,1.96,14.095,8.108,3.539,7.355,1.419,0.709,3.589,9.591,2.486,3.655,4.359,3.889,7.517,4.75,3.049,2.683,2.751,3.293,5.355,1.484,5.072,2.523,2.423,1.435,2.869,4.297,2.395,4.007,2.084,6.486,0.352,2.261,0.461,0,0,0,0,0,0
1,8.086,2.274,2.176,16.112,16.027,3.413,0.754,9.488,34.309,11.375,3.465,3.774,6.919,0.548,18.68,3.226,1.527,4.171,22.199,2.429,1.69,1.212,1.107,7.728,2.306,4.2,2.86,1.534,2.957,1.159,2.747,7.071,1.233,2.734,2.419,2.136,1.634,2.802,4.102,1.074,9.831,1.321,0.493,0,0,0,0,0,0,0,0,0
1,9.537,16.668,8,2.661,3.897,7.915,1.967,0.555,5.116,12.102,5.157,4.896,1.474,1.345,3.464,27.986,2.277,2.401,3.688,1.388,3.487,2.721,1.769,3.533,2.515,4.495,2.197,2.696,2.703,4.275,2.193,3.077,2.688,1.696,3.988,4.57,2.839,3.804,2.13,0.454,3.258,1.911,0.7,0,0,0,0,0,0,0,0,0
1,6.192,1.895,3.413,8.135,5.836,3.675,2.207,9.612,3.933,4.386,0.973,19.13,12.227,0.799,3.208,10.764,2.123,1.634,2.847,4.793,4.494,0.887,2.9,14.088,3.198,0.835,7.385,2.305,1.102,3.483,4.28,5.469,1.058,1.611,3.294,1.471,3.883,0.839,2.951,2.199,3.783,2.151,0.817,0,0,0,0,0,0,0,0,0
1,2.976,3.673,4.295,4.626,6.369,2.268,0.539,4.709,6.613,5.665,3.342,7.082,6.356,7.638,11.15,1.836,47.966,1.86,6.949,1.881,1.177,2.796,3.268,21.163,0.415,4.137,1.345,1.666,1.663,1.782,4.12,2.208,3.074,9.71,0.453,6.797,8.021,0.438,5.182,3.042,2.286,3.114,2.593,1.753,0.459,0,0,0,0,0,0,0
1,4.926,3.567,8.085,10.374,1.271,3.473,2.375,3.198,1.861,10.545,2.165,0.625,3.63,3.584,19.961,0.701,1.988,3.959,1.105,2.713,3.305,3.412,2.658,1.513,7.63,0.879,2.177,4.085,0.973,11.18,3.252,1.453,8.432,0.96,3.138,2.365,9.509,0.92,1.262,3.012,1.186,0.798,4.328,2.04,0.815,0,0,0,0,0,0,0
1,3.173,7.619,12.622,15.664,2.259,11.232,1.791,19.758,2.285,6.14,9.67,3.995,0.593,6.787,2.239,2.745,6.702,1.554,2.065,3.302,3.518,2.087,1.153,8.782,3.126,12.195,16.589,1.814,4.241,2.708,9.417,0.896,1.672,1.215,2.065,4.786,9.673,0.504,8.953,0.524,2.598,2.975,0.873,0,0,0,0,0,0,0,0,0
1,8.857,1.942,2.965,5.888,8.135,2.788,11.302,3.929,2.338,4.61,0.971,32.323,3.652,5.448,2.318,3.788,2.164,73.248,16.641,1.732,1.386,7.075,1.106,1.775,1.262,4.176,4.321,2.631,2.985,4.998,6.002,9.609,3.028,2.38,9.378,0.955,5.279,0.838,5.609,6.755,1.329,1.203,0.612,0,0,0,0,0,0,0,0,0
1,5.65,4.61,7.586,7.232,9.465,9.278,5.045,4.641,1.69,4.68,3.119,1.003,2.918,3.223,2.604,3.593,12.117,0.658,4.327,2.27,15.002,1.746,1.677,5.654,3.681,1.634,3.279,3.125,3.246,5.43,3.472,3.2,1.261,5.953,1.873,3.836,2.872,1.303,6.566,4.124,3.614,1.379,0.922,0,0,0,0,0,0,0,0,0
1,2.726,7.314,3.115,1.669,4.776,3.142,4.229,3.874,2.328,34.422,12.842,8.15,1.585,3.228,2.805,0.514,2.57,6.42,1.414,6.737,5.487,2.602,5.63,1.373,1.022,6.602,8.636,2.358,4.387,1.956,2.606,3.9,17.455,1.205,2.205,0.417,5.543,0.531,2.009,2.357,3.059,3.542,1.522,2.062,0.434,0,0,0,0,0,0,0
1,8.075,3.854,5.001,2.356,3.036,4.068,5.81,2.115,1.988,6.693,2.225,2.472,1.588,2.033,2.917,4.694,2.592,2.4,11.131,1.574,2.266,3.368,3.963,18.951,1.946,8.028,3.746,3.595,3.391,15.69,7.215,3.061,2.044,1.406,2.172,2.056,6.218,1.759,10.229,1.469,2.051,3.504,2.262,3.01,0.722,0,0,0,0,0,0,0
1,4.783,6.725,3.77,1.689,2.155,1.852,2.895,6.406,0.349,6.583,2.986,4.316,1.294,6.65,3.694,6.289,5.859,0.933,5.468,2.902,2.531,1.348,3.945,17.036,1.984,2.768,7.254,2.973,1.285,3.92,7.818,7.03,1.986,0.387,4.112,3.36,2.681,2.133,1.687,6.658,0.589,2.937,0.873,1.909,0,0,0,0,0,0,0,0
