x,y,id
-2.0514839,-2.4746852,23-Jan-23
13.922671,-8.057891,24-Jan-23
-1.4557235,2.2955687,25-Jan-23
-4.570138,0.9102438,2-Feb-23
2.902914,-1.6970901,3-Feb-23
-5.4585953,-0.011955154,4-Feb-23
-1.3996223,0.8011475,5-Feb-23
-4.767256,2.9018724,6-Feb-23
13.560484,-5.8080664,7-Feb-23
-4.1638002,-0.33504355,9-Feb-23
14.595778,-7.55503,10-Feb-23
-5.0686445,-5.1008477,12-Feb-23
-4.538325,-0.16742034,1-Mar-23
-1.2302996,3.1399875,3-Mar-23
16.092924,-8.987348,4-Mar-23
18.399843,3.58725,6-Mar-23
-6.5387664,-3.4809928,7-Mar-23
16.080843,-7.792723,8-Mar-23
14.928245,-6.990319,9-Mar-23
-3.861725,-1.6760103,10-Mar-23
-3.4172347,-3.3643482,12-Mar-23
-14.672685,0.7567003,13-Mar-23
-1.6001167,0.5326849,14-Mar-23
-5.4406567,-1.4332675,16-Mar-23
-2.186023,1.2067102,17-Mar-23
14.155566,-9.048418,19-Mar-23
-3.2116761,-1.4915744,21-Mar-23
0.777325,0.9933869,24-Mar-23
0.0591509,1.5251513,27-Mar-23
-6.091117,-1.8066448,29-Mar-23
-3.929496,-3.192517,2-Apr-23
-1.2167143,-2.9613905,3-Apr-23
-4.3615036,3.2412598,12-Apr-23
-1.3511198,1.3981143,13-Apr-23
-2.8062458,20.46028,15-Apr-23
14.480505,-7.996751,17-Apr-23
-5.8319316,-3.170639,19-Apr-23
-3.3647811,-3.7627163,20-Apr-23
13.826046,-7.270857,21-Apr-23
-3.133528,20.787537,24-Apr-23
15.682162,-8.320968,25-Apr-23
-2.4333172,-0.101220585,27-Apr-23
0.022273095,0.21329014,1-May-23
18.897676,4.085035,12-May-23
-1.9972882,-2.152732,18-May-23
-1.6745056,-3.3264873,14-May-23
-4.706202,-5.626806,21-May-23
13.629908,-9.639915,23-May-23
-4.4026747,-4.6555386,25-May-23
-14.181015,0.26463762,28-May-23
14.222453,-6.3191447,21-Jun-23
-2.6417253,-0.5152563,27-Jun-23
-6.0174932,-0.96032745,29-Jun-23
-2.5371263,-1.479744,3-Jul-23
-2.9192586,-5.0619316,6-Jul-23
-3.5592992,-0.5766183,18-Jul-23
-3.1550078,-4.276778,19-Jul-23
-6.3370934,0.021721844,24-Jul-23
12.3136015,-7.8814883,13-Aug-23
-0.054627404,0.93393457,14-Aug-23
-4.1192193,-1.2570693,15-Aug-23
2.507292,-2.0824785,16-Aug-23
-4.814421,2.0380235,1-Sep-23
-5.4710884,1.2595235,5-Sep-23
5.7625823,10.241396,6-Sep-23
5.2668123,9.745621,1-Oct-23
-4.0248003,0.24769616,2-Oct-23
13.180649,-7.5095134,6-Oct-23
-4.890413,-2.4568489,7-Oct-23
