date,day_of_week,puzzle_id,hint,puzzle,solution
2023-01-23,Monday,147595,"[11, 43, 77, 28, 22, 67, 30, 7, 71, 33, 51, 53, 70, 16, 35, 45, 49, 56, 69, 5, 8, 19, 25, 60, 73, 1, 3, 6, 21, 23, 24, 29, 34, 36, 39, 40, 41, 46, 52, 55, 57, 62, 63, 68, 20, 27, 38, 54, 79, 12, 13, 18, 31, 32, 59, 61, 72, 74, 75]","[5, 0, 9, 0, 1, 0, 0, 0, 0, 6, 3, 0, 0, 0, 4, 9, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 8, 0, 2, 0, 0, 2, 6, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 5, 6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 0, 9]","[5, 2, 9, 7, 1, 8, 3, 4, 6, 6, 3, 1, 5, 2, 4, 9, 8, 7, 8, 7, 4, 3, 6, 9, 5, 2, 1, 1, 6, 8, 4, 5, 2, 7, 9, 3, 3, 4, 5, 1, 9, 7, 8, 6, 2, 7, 9, 2, 6, 8, 3, 4, 1, 5, 2, 1, 7, 9, 4, 5, 6, 3, 8, 9, 5, 6, 8, 3, 1, 2, 7, 4, 4, 8, 3, 2, 7, 6, 1, 5, 9]"
2023-01-25,Wednesday,147601,"[43, 36, 64, 7, 50, 13, 33, 41, 38, 78, 39, 54, 56, 63, 62, 17, 57, 69, 15, 16, 34, 59, 61, 71, 1, 27, 29, 49, 53, 80, 2, 5, 9, 20, 28, 35, 46, 75, 0, 4, 6, 12, 19, 22, 23, 30, 47, 66, 77, 79, 3, 21, 24, 31, 67, 70, 74, 65, 76]","[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 5, 0, 0, 6, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 9, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 9, 0, 0, 2, 0, 8, 0, 7, 7, 0, 0, 5, 0, 0, 2, 1, 0, 0, 8, 0, 0, 9, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0, 0]","[8, 2, 7, 9, 1, 5, 4, 6, 3, 9, 4, 5, 2, 3, 6, 1, 7, 8, 6, 1, 3, 4, 7, 8, 5, 2, 9, 2, 6, 1, 7, 8, 3, 9, 4, 5, 5, 9, 4, 6, 2, 1, 8, 3, 7, 7, 3, 8, 5, 4, 9, 2, 1, 6, 4, 8, 2, 3, 9, 7, 6, 5, 1, 3, 5, 9, 1, 6, 4, 7, 8, 2, 1, 7, 6, 8, 5, 2, 3, 9, 4]"
2023-01-26,Thursday,147604,"[10, 4, 12, 13, 22, 63, 20, 68, 64, 5, 19, 29, 74, 8, 18, 23, 55, 56, 75, 6, 11, 30, 58, 72, 80, 2, 7, 16, 33, 48, 54, 76, 15, 34, 39, 45, 27, 36, 51, 57, 70, 43, 52, 59, 66, 78, 41, 42, 53, 61, 62, 77, 24, 26, 37, 44, 46, 50, 60]","[6, 7, 0, 4, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 0, 0, 9, 0, 0, 0, 5, 0, 0, 0, 2, 0, 0, 3, 0, 0, 7, 1, 0, 0, 5, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 6, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 8, 0, 5, 0, 1, 0, 9, 0, 0, 0, 0, 0, 8, 0]","[6, 7, 9, 4, 2, 8, 1, 5, 3, 4, 2, 5, 3, 1, 7, 8, 6, 9, 8, 1, 3, 5, 6, 9, 4, 2, 7, 2, 3, 4, 8, 7, 1, 6, 9, 5, 9, 8, 1, 6, 3, 5, 7, 4, 2, 7, 5, 6, 2, 9, 4, 3, 1, 8, 1, 6, 8, 7, 5, 2, 9, 3, 4, 3, 4, 2, 9, 8, 6, 5, 7, 1, 5, 9, 7, 1, 4, 3, 2, 8, 6]"
2023-01-27,Friday,147607,"[38, 50, 40, 28, 34, 15, 3, 44, 14, 48, 43, 5, 23, 59, 35, 45, 49, 9, 16, 17, 22, 62, 64, 13, 19, 70, 72, 7, 11, 21, 24, 54, 61, 63, 80, 1, 12, 20, 26, 52, 53, 56, 79, 2, 55, 30, 57, 65, 69, 76, 78, 31, 47, 66, 73, 46, 74]","[8, 0, 0, 0, 1, 0, 7, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 8, 0, 6, 0, 7, 0, 0, 9, 1, 0, 0, 9, 3, 0, 7, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 5, 0, 8, 0, 0, 0, 0, 0, 0, 6, 3, 0, 0, 5, 0, 0, 0, 1, 0, 4, 0, 0, 0]","[8, 6, 3, 5, 1, 2, 7, 9, 4, 7, 2, 4, 3, 9, 8, 5, 1, 6, 5, 1, 9, 4, 7, 6, 3, 8, 2, 6, 4, 7, 8, 2, 9, 1, 5, 3, 9, 3, 1, 7, 4, 5, 6, 2, 8, 2, 8, 5, 6, 3, 1, 4, 7, 9, 4, 9, 6, 2, 5, 7, 8, 3, 1, 1, 7, 8, 9, 6, 3, 2, 4, 5, 3, 5, 2, 1, 8, 4, 9, 6, 7]"
2023-01-29,Sunday,147613,"[69, 71, 43, 54, 67, 70, 5, 10, 23, 14, 19, 22, 32, 8, 11, 13, 15, 20, 21, 31, 34, 57, 61, 64, 65, 75, 76, 77, 3, 4, 25, 27, 30, 44, 59, 80, 24, 29, 35, 36, 38, 53, 55, 56, 72, 79, 26, 42, 47, 49, 74, 0, 1, 37, 40, 45, 51]","[0, 0, 7, 0, 0, 0, 4, 3, 0, 3, 0, 0, 8, 0, 0, 0, 5, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 0, 2, 0, 3, 0, 9, 0, 6, 0, 0, 0, 0, 0, 6, 0, 9, 0, 4, 2, 0, 0, 4, 0, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 0, 0]","[8, 1, 7, 5, 2, 6, 4, 3, 9, 3, 4, 9, 8, 1, 7, 2, 5, 6, 5, 6, 2, 9, 4, 3, 7, 1, 8, 6, 7, 3, 1, 5, 4, 8, 9, 2, 9, 8, 5, 6, 7, 2, 1, 4, 3, 1, 2, 4, 3, 8, 9, 5, 6, 7, 7, 3, 1, 2, 6, 5, 9, 8, 4, 2, 9, 8, 4, 3, 1, 6, 7, 5, 4, 5, 6, 7, 9, 8, 3, 2, 1]"
2023-01-30,Monday,147616,"[73, 48, 71, 0, 8, 10, 47, 52, 56, 61, 4, 22, 53, 28, 55, 65, 74, 77, 19, 29, 32, 45, 51, 63, 68, 9, 24, 27, 50, 64, 66, 3, 7, 17, 18, 21, 33, 41, 43, 2, 12, 14, 15, 31, 39, 44, 58, 80, 6, 11, 30, 40, 57, 60, 76, 78]","[0, 2, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 0, 0, 0, 5, 0, 0, 4, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 6, 4, 3, 6, 7, 0, 0, 0, 8, 0, 0, 0, 1, 0, 0, 9, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 0, 5, 0, 0, 0, 0, 5, 0, 9, 3, 0, 6, 0, 0, 3, 0, 0, 0, 2, 0]","[4, 2, 6, 1, 3, 7, 5, 9, 8, 9, 3, 1, 2, 8, 5, 6, 4, 7, 8, 7, 5, 9, 6, 4, 2, 1, 3, 2, 8, 9, 5, 7, 3, 1, 6, 4, 3, 6, 7, 4, 1, 2, 8, 5, 9, 5, 1, 4, 6, 9, 8, 3, 7, 2, 1, 9, 3, 7, 2, 6, 4, 8, 5, 7, 4, 2, 8, 5, 1, 9, 3, 6, 6, 5, 8, 3, 4, 9, 7, 2, 1]"
2023-01-31,Tuesday,147619,"[6, 12, 0, 22, 11, 23, 70, 74, 77, 8, 13, 14, 21, 32, 59, 71, 75, 76, 5, 25, 30, 80, 26, 27, 34, 42, 72, 73, 2, 18, 31, 33, 37, 41, 46, 47, 64, 1, 17, 19, 29, 36, 44, 49, 50, 52, 56, 67, 78, 15, 38, 51, 58, 62, 63, 79, 53, 60]","[0, 0, 0, 9, 4, 0, 0, 8, 0, 2, 3, 0, 0, 0, 0, 0, 7, 0, 0, 0, 9, 0, 0, 0, 6, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 8, 0, 0, 2, 0, 5, 0, 0, 7, 0, 0, 0, 0, 0, 7, 2, 0, 6, 0, 0, 0, 1, 0, 0, 0, 4, 8, 0, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 7, 5, 9, 4, 2, 1, 8, 3, 2, 3, 8, 1, 6, 5, 4, 7, 9, 4, 1, 9, 3, 7, 8, 6, 5, 2, 8, 6, 7, 4, 2, 3, 5, 9, 1, 3, 9, 1, 5, 8, 6, 7, 2, 4, 5, 4, 2, 7, 9, 1, 8, 3, 6, 7, 2, 3, 6, 5, 4, 9, 1, 8, 1, 5, 4, 8, 3, 9, 2, 6, 7, 9, 8, 6, 2, 1, 7, 3, 4, 5]"
2023-02-01,Wednesday,147622,"[24, 21, 55, 18, 30, 41, 57, 61, 67, 11, 12, 22, 39, 58, 66, 7, 13, 14, 33, 75, 5, 17, 34, 43, 69, 80, 8, 15, 42, 71, 79, 6, 28, 51, 53, 47, 59, 64, 19, 20, 56, 63, 77, 27, 44, 68, 74, 2, 35, 37, 0, 36, 38, 73, 1, 45, 46, 72]","[0, 0, 0, 3, 8, 0, 0, 0, 0, 5, 8, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6, 0, 2, 9, 0, 0, 7, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 8, 6, 9, 0, 3, 0, 4, 0, 0, 0, 0, 0, 6, 0, 1, 0, 0, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7, 0, 5, 0, 0]","[1, 6, 9, 3, 8, 2, 4, 5, 7, 5, 8, 2, 4, 9, 7, 1, 6, 3, 7, 4, 3, 5, 1, 6, 8, 2, 9, 6, 5, 7, 2, 3, 4, 9, 1, 8, 9, 3, 8, 7, 5, 1, 2, 4, 6, 2, 1, 4, 8, 6, 9, 7, 3, 5, 4, 7, 5, 9, 2, 3, 6, 8, 1, 8, 9, 1, 6, 4, 5, 3, 7, 2, 3, 2, 6, 1, 7, 8, 5, 9, 4]"
2023-02-02,Thursday,147625,"[17, 65, 69, 7, 35, 33, 26, 60, 44, 51, 62, 76, 3, 11, 23, 80, 20, 75, 9, 24, 4, 6, 10, 18, 40, 43, 47, 48, 52, 57, 2, 15, 28, 36, 45, 73, 74, 1, 13, 27, 32, 37, 38, 41, 46, 54, 67, 77, 12, 14, 49, 59, 66, 70, 72, 50, 58, 63, 79]","[8, 0, 0, 0, 0, 3, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 0, 8, 6, 0, 0, 9, 0, 0, 0, 5, 1, 9, 0, 0, 8, 0, 0, 0, 0, 3, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 5, 7, 0, 0, 0, 0, 1, 0, 0, 6, 0, 0, 0, 5, 0, 0, 2, 0, 0, 0, 0, 0, 0, 8, 0, 0]","[8, 9, 1, 7, 5, 3, 2, 6, 4, 5, 2, 6, 9, 4, 1, 3, 7, 8, 7, 4, 3, 8, 6, 2, 5, 9, 1, 2, 7, 5, 1, 9, 6, 4, 8, 3, 1, 8, 4, 3, 2, 7, 6, 5, 9, 6, 3, 9, 5, 8, 4, 1, 2, 7, 4, 5, 7, 2, 3, 8, 9, 1, 6, 9, 6, 8, 4, 1, 5, 7, 3, 2, 3, 1, 2, 6, 7, 9, 8, 4, 5]"
2023-02-03,Friday,147628,"[15, 54, 0, 74, 43, 7, 24, 42, 64, 69, 70, 71, 79, 44, 55, 61, 75, 78, 1, 10, 22, 30, 36, 53, 62, 73, 76, 3, 4, 8, 9, 13, 18, 20, 23, 27, 29, 32, 37, 41, 46, 48, 50, 58, 68, 2, 5, 11, 14, 26, 34, 45, 47, 49, 59, 66, 31, 52]","[0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 5, 0, 0, 0, 8, 3, 0, 6, 0, 3, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 4, 0, 7, 0, 0, 1, 9, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 7, 1, 0, 0, 8, 0, 0, 4, 0, 9, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 0, 6]","[3, 1, 8, 6, 4, 2, 9, 7, 5, 2, 9, 4, 5, 7, 1, 6, 8, 3, 7, 6, 5, 3, 9, 8, 1, 2, 4, 9, 3, 6, 2, 8, 5, 4, 1, 7, 5, 4, 1, 9, 6, 7, 2, 3, 8, 8, 7, 2, 4, 1, 3, 5, 6, 9, 6, 5, 7, 1, 3, 4, 8, 9, 2, 4, 8, 9, 7, 2, 6, 3, 5, 1, 1, 2, 3, 8, 5, 9, 7, 4, 6]"
2023-02-05,Sunday,147634,"[63, 75, 28, 16, 53, 73, 36, 10, 19, 3, 39, 4, 11, 17, 18, 31, 32, 34, 38, 42, 47, 51, 54, 59, 69, 78, 0, 7, 15, 21, 23, 26, 35, 41, 45, 61, 62, 68, 72, 74, 76, 14, 22, 43, 48, 56, 67, 71, 77, 79, 12, 44, 50, 57, 65, 70]","[0, 9, 6, 0, 0, 2, 8, 0, 4, 5, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 9, 3, 0, 9, 0, 8, 5, 0, 0, 3, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 9, 0, 0, 6, 0, 0, 5, 0, 0, 7, 0, 2, 0, 0, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]","[3, 9, 6, 7, 5, 2, 8, 1, 4, 5, 8, 4, 9, 1, 3, 7, 2, 6, 1, 7, 2, 8, 4, 6, 9, 3, 5, 9, 2, 8, 5, 6, 1, 3, 4, 7, 6, 3, 5, 4, 2, 7, 1, 8, 9, 4, 1, 7, 3, 9, 8, 5, 6, 2, 8, 5, 3, 6, 7, 4, 2, 9, 1, 2, 4, 9, 1, 3, 5, 6, 7, 8, 7, 6, 1, 2, 8, 9, 4, 5, 3]"
