date,day_of_week,puzzle_id,hint,puzzle,solution
2021-08-30,Monday,146063,"[55, 1, 6, 12, 65, 74, 27, 28, 9, 16, 20, 36, 67, 14, 61, 8, 13, 50, 68, 45, 21, 33, 40, 34, 24, 25, 48, 57, 63, 80, 41, 31, 23, 22, 70, 77, 54, 53, 2, 37, 51, 62, 47, 35, 43, 46, 78, 59, 76, 60, 5, 10, 26, 29, 52, 58]","[8, 0, 0, 7, 3, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 2, 0, 6, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 7, 0, 0, 0, 0, 0, 8, 9, 0, 0, 4, 0, 3, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 0, 9, 0, 8, 9, 7, 0, 8, 0, 0, 0, 6, 0]","[8, 6, 2, 7, 3, 9, 5, 1, 4, 3, 9, 5, 1, 8, 4, 2, 7, 6, 1, 4, 7, 6, 2, 5, 8, 3, 9, 4, 3, 9, 2, 5, 7, 6, 8, 1, 7, 2, 8, 9, 6, 1, 4, 5, 3, 6, 5, 1, 3, 4, 8, 7, 9, 2, 2, 8, 6, 5, 9, 3, 1, 4, 7, 5, 1, 3, 4, 7, 6, 9, 2, 8, 9, 7, 4, 8, 1, 2, 3, 6, 5]"
2021-09-08,Wednesday,146090,"[39, 45, 62, 44, 13, 26, 3, 34, 2, 23, 64, 75, 55, 19, 33, 25, 11, 63, 30, 48, 0, 12, 24, 59, 7, 10, 14, 18, 29, 37, 60, 72, 6, 17, 20, 27, 28, 41, 54, 15, 35, 36, 40, 49, 77, 50, 67, 68, 74, 52, 65, 69, 76, 79, 51, 70]","[0, 1, 0, 0, 6, 4, 0, 0, 5, 3, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 0, 0, 0, 0, 0, 3, 0, 0, 0, 8, 2, 0, 0, 4, 9, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7, 4, 0, 0, 6, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 0, 5, 0, 0, 0, 0, 3, 0, 4]","[7, 1, 8, 3, 6, 4, 2, 9, 5, 3, 6, 4, 5, 9, 2, 7, 8, 1, 5, 9, 2, 1, 7, 8, 6, 4, 3, 1, 2, 5, 6, 8, 9, 4, 3, 7, 6, 7, 3, 4, 5, 1, 8, 2, 9, 8, 4, 9, 2, 3, 7, 1, 5, 6, 2, 3, 1, 7, 4, 5, 9, 6, 8, 4, 8, 6, 9, 1, 3, 5, 7, 2, 9, 5, 7, 8, 2, 6, 3, 1, 4]"
2021-09-09,Thursday,146093,"[61, 33, 50, 27, 30, 38, 44, 32, 36, 53, 31, 37, 52, 55, 78, 1, 73, 45, 69, 54, 64, 65, 35, 7, 24, 34, 47, 63, 0, 2, 3, 6, 23, 25, 46, 70, 74, 75, 4, 15, 17, 19, 39, 58, 59, 80, 8, 10, 13, 21, 22, 40, 62, 77, 14, 76]","[0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 0, 1, 5, 0, 0, 0, 9, 0, 4, 0, 9, 0, 0, 0, 0, 0, 5, 0, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 2, 0, 0, 0, 0, 2, 1, 0, 6, 0, 0, 0, 0, 4, 9, 0, 0, 2, 0, 0, 0, 0, 0, 7, 5, 3, 0, 0, 4, 5, 0, 0, 0, 0, 0, 0, 7, 0]","[8, 5, 6, 1, 7, 9, 4, 3, 2, 3, 2, 1, 5, 4, 6, 8, 9, 7, 4, 7, 9, 8, 3, 2, 1, 6, 5, 2, 6, 3, 4, 9, 7, 5, 1, 8, 1, 4, 5, 3, 6, 8, 7, 2, 9, 9, 8, 7, 2, 1, 5, 6, 4, 3, 7, 3, 4, 9, 8, 1, 2, 5, 6, 6, 1, 2, 7, 5, 3, 9, 8, 4, 5, 9, 8, 6, 2, 4, 3, 7, 1]"
2021-09-10,Friday,146096,"[9, 17, 20, 52, 76, 27, 49, 34, 30, 64, 75, 15, 10, 53, 40, 78, 7, 63, 74, 60, 8, 32, 61, 42, 25, 4, 24, 19, 22, 31, 43, 28, 44, 67, 70, 35, 41, 46, 58, 1, 36, 48, 65, 77, 2, 12, 14, 38, 50, 54, 56, 66, 71, 80, 62, 72]","[9, 0, 0, 1, 0, 4, 5, 0, 0, 0, 0, 7, 0, 8, 0, 0, 6, 0, 8, 0, 0, 9, 0, 3, 0, 0, 1, 0, 0, 3, 0, 0, 0, 6, 0, 0, 0, 1, 0, 4, 0, 0, 0, 0, 0, 7, 0, 8, 0, 0, 0, 2, 0, 0, 0, 4, 0, 3, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 7, 0, 0, 0, 0, 0, 9, 0]","[9, 2, 6, 1, 7, 4, 5, 3, 8, 1, 3, 7, 2, 8, 5, 9, 6, 4, 8, 5, 4, 9, 6, 3, 7, 2, 1, 4, 9, 3, 7, 2, 8, 6, 1, 5, 2, 1, 5, 4, 3, 6, 8, 7, 9, 7, 6, 8, 5, 1, 9, 2, 4, 3, 6, 4, 9, 3, 5, 7, 1, 8, 2, 3, 8, 2, 6, 9, 1, 4, 5, 7, 5, 7, 1, 8, 4, 2, 3, 9, 6]"
2021-09-12,Sunday,146102,"[18, 80, 33, 65, 79, 26, 25, 53, 23, 31, 75, 44, 16, 66, 78, 74, 43, 69, 1, 28, 15, 61, 6, 32, 29, 46, 64, 54, 9, 77, 14, 13, 0, 12, 41, 67, 36, 49, 68, 48, 4, 3, 38, 72, 10, 58, 11, 55, 51, 39, 42, 45, 56, 76]","[0, 0, 7, 0, 0, 3, 0, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 5, 7, 4, 0, 9, 0, 0, 3, 0, 0, 6, 0, 0, 0, 5, 7, 0, 8, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 8, 0, 9, 0, 0, 0, 0, 8, 0, 1, 2, 0, 4, 2, 0, 0, 0, 0, 0, 0, 6, 9, 0, 7, 0, 0, 0, 0, 0, 0, 0]","[8, 2, 7, 9, 1, 3, 5, 4, 6, 4, 9, 3, 5, 8, 6, 7, 2, 1, 1, 6, 5, 7, 4, 2, 9, 3, 8, 3, 1, 4, 6, 2, 9, 8, 5, 7, 7, 8, 9, 4, 3, 5, 6, 1, 2, 6, 5, 2, 1, 7, 8, 4, 9, 3, 5, 3, 6, 8, 9, 1, 2, 7, 4, 2, 4, 8, 3, 5, 7, 1, 6, 9, 9, 7, 1, 2, 6, 4, 3, 8, 5]"
2021-09-13,Monday,146105,"[17, 32, 26, 3, 28, 65, 49, 27, 44, 74, 43, 62, 52, 51, 53, 71, 42, 13, 11, 12, 10, 38, 61, 36, 67, 55, 45, 70, 76, 8, 23, 59, 7, 69, 80, 6, 54, 64, 60, 66, 57, 63, 50, 22, 1, 72, 73, 18, 2, 46, 5, 20, 48, 58, 19, 47]","[1, 0, 0, 0, 3, 0, 0, 0, 0, 5, 0, 0, 0, 0, 9, 7, 4, 0, 0, 0, 0, 1, 0, 0, 5, 9, 0, 0, 0, 6, 3, 9, 0, 8, 2, 4, 0, 1, 0, 8, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 9, 0, 5, 3, 7, 0]","[1, 4, 9, 5, 3, 7, 2, 6, 8, 5, 8, 3, 6, 2, 9, 7, 4, 1, 6, 2, 7, 1, 4, 8, 5, 9, 3, 7, 5, 6, 3, 9, 1, 8, 2, 4, 3, 1, 4, 8, 6, 2, 9, 5, 7, 8, 9, 2, 7, 5, 4, 1, 3, 6, 9, 3, 8, 2, 7, 6, 4, 1, 5, 2, 7, 5, 4, 1, 3, 6, 8, 9, 4, 6, 1, 9, 8, 5, 3, 7, 2]"
2021-09-14,Tuesday,146108,"[69, 25, 72, 41, 18, 20, 50, 29, 64, 63, 37, 45, 46, 27, 34, 31, 44, 4, 11, 24, 43, 73, 3, 10, 14, 26, 49, 52, 55, 56, 57, 78, 80, 1, 6, 12, 16, 17, 22, 23, 39, 40, 48, 51, 59, 65, 68, 74, 76, 8, 15, 33, 62, 35, 60]","[2, 0, 6, 0, 0, 5, 0, 8, 0, 5, 0, 0, 0, 8, 0, 0, 0, 0, 0, 7, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 4, 0, 9, 0, 0, 0, 1, 0, 9, 0, 0, 0, 5, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 6, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0, 0, 1, 9, 0, 0, 3, 7, 0, 0, 0, 8, 0, 6, 0, 1, 0]","[2, 4, 6, 9, 7, 5, 3, 8, 1, 5, 3, 1, 6, 8, 2, 7, 4, 9, 9, 7, 8, 3, 4, 1, 2, 5, 6, 7, 2, 5, 4, 1, 9, 8, 6, 3, 1, 8, 9, 2, 6, 3, 5, 7, 4, 4, 6, 3, 7, 5, 8, 1, 9, 2, 6, 1, 4, 5, 3, 7, 9, 2, 8, 8, 5, 2, 1, 9, 4, 6, 3, 7, 3, 9, 7, 8, 2, 6, 4, 1, 5]"
2021-09-15,Wednesday,146111,"[20, 7, 21, 4, 52, 59, 2, 12, 24, 53, 35, 6, 0, 1, 37, 39, 29, 48, 36, 46, 27, 32, 44, 45, 73, 26, 42, 47, 54, 72, 76, 74, 70, 13, 69, 68, 71, 23, 58, 25, 56, 66, 78, 14, 79, 33, 65, 75, 19, 16, 10, 22, 50, 34, 49, 62, 77, 15, 17, 61]","[0, 0, 0, 9, 0, 2, 0, 0, 1, 7, 0, 8, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 5, 0, 0, 0, 0, 0, 0, 2, 0, 4, 7, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 0, 1, 0, 0, 7, 0, 0, 4, 9, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]","[3, 5, 4, 9, 6, 2, 8, 7, 1, 7, 1, 8, 4, 3, 5, 9, 2, 6, 6, 2, 9, 7, 1, 8, 4, 5, 3, 8, 4, 1, 2, 5, 6, 3, 9, 7, 9, 6, 2, 3, 4, 7, 1, 8, 5, 5, 7, 3, 8, 9, 1, 6, 4, 2, 2, 3, 5, 1, 8, 4, 7, 6, 9, 4, 9, 6, 5, 7, 3, 2, 1, 8, 1, 8, 7, 6, 2, 9, 5, 3, 4]"
2021-09-16,Thursday,146114,"[73, 49, 14, 12, 68, 11, 66, 30, 60, 39, 51, 52, 1, 16, 17, 37, 8, 9, 7, 0, 29, 28, 44, 50, 41, 35, 34, 69, 26, 25, 80, 40, 54, 70, 47, 45, 58, 74, 76, 27, 43, 77, 4, 62, 65, 63, 20, 32, 38, 55, 67, 79, 18, 3, 15, 5, 75, 10, 24]","[0, 0, 8, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 9, 0, 3, 1, 7, 0, 0, 0, 0, 0, 0, 0, 3, 0, 9, 0, 0, 8, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 0, 5, 0, 0, 0, 0, 4, 0, 0, 3, 8, 0, 6, 0, 2, 0, 0, 6, 0, 0, 0, 0, 0, 0, 7, 1, 0, 0, 0, 0, 0, 3, 0, 0]","[6, 7, 8, 4, 5, 9, 2, 1, 3, 3, 5, 1, 2, 6, 8, 4, 7, 9, 4, 9, 2, 3, 1, 7, 5, 6, 8, 5, 2, 6, 7, 3, 4, 9, 8, 1, 8, 3, 4, 6, 9, 1, 7, 5, 2, 7, 1, 9, 5, 8, 2, 6, 3, 4, 9, 4, 3, 8, 7, 6, 1, 2, 5, 2, 6, 5, 1, 4, 3, 8, 9, 7, 1, 8, 7, 9, 2, 5, 3, 4, 6]"
2021-09-20,Monday,146126,"[67, 38, 72, 48, 4, 58, 29, 57, 66, 56, 39, 78, 80, 3, 50, 76, 23, 68, 79, 77, 37, 11, 15, 19, 65, 21, 44, 46, 9, 28, 40, 31, 42, 12, 26, 43, 60, 25, 71, 70, 24, 62, 52, 27, 64, 53, 35, 45, 7, 17, 47, 63, 1, 14, 8, 2, 5, 16]","[4, 0, 0, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 7, 0, 0, 0, 0, 2, 0, 6, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3, 1, 8, 0, 8, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 1, 4, 0, 0, 0, 8, 0, 3, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 3, 9, 0, 0, 0, 0, 0]","[4, 9, 7, 1, 8, 6, 3, 5, 2, 3, 5, 1, 4, 7, 2, 8, 6, 9, 2, 8, 6, 3, 5, 9, 7, 1, 4, 7, 6, 4, 2, 9, 3, 1, 8, 5, 8, 1, 2, 7, 6, 5, 4, 9, 3, 5, 3, 9, 8, 4, 1, 2, 7, 6, 1, 4, 5, 6, 2, 8, 9, 3, 7, 9, 7, 8, 5, 3, 4, 6, 2, 1, 6, 2, 3, 9, 1, 7, 5, 4, 8]"
