date,doks_order,times
23-Jan-23,"[70, 59, 3, 54, 11, 10, 20, 18, 13, 12, 24, 26, 6, 7, 8, 50, 44, 80, 62, 53, 37, 31, 46, 39, 75, 48, 38, 47, 29, 63, 72, 77, 32, 68, 40, 49, 51, 61, 55, 64, 69, 34, 33]","[13.395, 2.952, 1.854, 22.153, 1.588, 1.44, 2.803, 2.029, 2.741, 2.725, 9.639, 0.744, 8.65, 1.726, 0.782, 17.773, 1.296, 3.453, 3.537, 2.645, 5.382, 1.65, 3.191, 24.727, 4.673, 2.427, 4.719, 4.178, 1.034, 12.867, 4.24, 1.993, 4.192, 3.418, 11.204, 1.898, 7.362, 1.785, 2.155, 0.596, 2.559, 1.774, 2.351]"
24-Jan-23,"[22, 57, 56, 69, 67, 74, 9, 1, 2, 29, 46, 23, 14, 13, 31, 40, 45, 45, 48, 52, 53, 79, 16, 24, 26, 43, 44, 42, 33, 30, 39, 36, 27, 77, 73, 80, 61, 60, 71, 55, 59, 66, 68, 64]","[3.259, 3.111, 10.104, 1.749, 4.859, 5.247, 2.128, 3.234, 2.826, 3.995, 18.201, 11.474, 2.774, 1.68, 11.024, 0.511, 3.685, 1.425, 12.095, 3.696, 0.363, 5.044, 6.824, 2.708, 1.339, 3.505, 2.163, 5.707, 0.663, 4.909, 2.731, 3.912, 1.311, 5.855, 1.463, 3.518, 2.561, 2.063, 1.658, 6.794, 1.663, 2.951, 1.952, 2.29]"
25-Jan-23,"[15, 64, 27, 46, 18, 12, 6, 17, 34, 43, 29, 49, 23, 4, 21, 32, 33, 44, 53, 51, 48, 41, 59, 57, 11, 2, 19, 20, 38, 37, 55, 61, 54, 58, 72, 63, 78, 80, 71, 70, 79, 76, 67]","[3.839, 7.636, 5.141, 3.377, 10.947, 4.145, 1.622, 1.354, 2.867, 2.643, 2.941, 3.795, 1.514, 2.909, 1.777, 2.165, 12.846, 3.683, 2.709, 1.252, 3.374, 2.199, 3.933, 2.669, 12.725, 2.767, 2.909, 0.905, 5.106, 2.028, 2.924, 17.552, 8.056, 1.501, 11.78, 1.544, 4.604, 11.649, 0.605, 6.158, 0.659, 3.983, 1.605]"
2-Feb-23,"[20, 36, 21, 2, 10, 11, 19, 26, 8, 5, 41, 45, 29, 28, 46, 27, 53, 44, 49, 52, 42, 43, 54, 55, 63, 72, 67, 77, 58, 75, 57, 60, 69, 79, 70, 78, 78, 78, 7, 6, 13, 14, 30, 32, 40]","[3.213, 3.308, 7.301, 1.776, 3.999, 2.488, 1.391, 2.229, 4.984, 5.693, 6.795, 1.945, 17.245, 2.732, 3.926, 2.1, 12.738, 2.66, 3.915, 7.22, 2.881, 0.484, 7.486, 5.389, 8.289, 1.38, 2.303, 4.128, 3.894, 4.29, 1.623, 1.812, 3.281, 8.828, 1.493, 1.294, 1.513, 2.404, 5.969, 1.606, 2.281, 2.287, 5.604, 3.941, 1.727]"
3-Feb-23,"[3, 25, 42, 47, 73, 68, 74, 45, 67, 61, 59, 63, 56, 2, 20, 17, 26, 22, 4, 12, 10, 1, 54, 54, 54, 55, 37, 32, 50, 49, 40, 33, 27, 34, 44, 43, 71, 80, 57, 66, 77, 78, 70, 60, 36]","[7.881, 1.891, 2.165, 2.742, 1.978, 2.616, 2.384, 9.455, 23.621, 2.046, 5.924, 2.059, 2.272, 12.511, 0.654, 12.764, 0.606, 4.509, 5.56, 3.744, 2.39, 2.336, 2.736, 1.463, 3.764, 1.719, 4.916, 8.661, 2.684, 2.035, 1.427, 2.171, 6.623, 2.806, 5.206, 0.605, 4.044, 3.231, 2.539, 2.912, 2.926, 2.815, 5.145, 1.679, 4.157]"
4-Feb-23,"[15, 52, 11, 24, 2, 28, 40, 5, 4, 3, 22, 50, 57, 43, 46, 9, 18, 25, 17, 53, 42, 35, 44, 80, 58, 39, 32, 30, 45, 47, 63, 79, 65, 56, 65, 64, 73, 78, 77, 68, 59, 60, 61, 70]","[4.006, 3.978, 4.606, 5.224, 1.733, 5.276, 2.607, 2.842, 2.02, 1.682, 2.487, 3.548, 1.828, 5.995, 1.778, 4.355, 2.194, 4.123, 0.924, 9.719, 2.276, 1.778, 0.709, 2.089, 4.552, 2.026, 3.101, 1.605, 2.244, 1.338, 5.139, 2.426, 13.916, 0.53, 4.685, 1.699, 2.269, 5.592, 0.543, 3.573, 2.023, 4.261, 1.755, 0.947]"
5-Feb-23,"[18, 72, 27, 52, 5, 39, 44, 50, 37, 48, 53, 59, 63, 78, 17, 2, 38, 20, 15, 23, 24, 19, 36, 42, 35, 62, 64, 54, 55, 67, 70, 66, 76, 75, 30, 31, 79, 60, 61, 7, 16, 4, 13]","[5.416, 9.218, 4.05, 2.045, 5.622, 6.386, 3.269, 5.627, 8.628, 12.862, 1.093, 6.247, 3.418, 2.499, 4.686, 2.574, 3.842, 2.778, 1.839, 6.288, 3.684, 1.763, 5.717, 6.598, 11.521, 2.742, 2.247, 2.791, 2.437, 2.327, 3.166, 4.278, 1.954, 1.957, 4.908, 1.559, 5.442, 3.481, 0.432, 5.409, 0.888, 1.437, 2.174]"
6-Feb-23,"[26, 61, 61, 76, 21, 19, 18, 10, 6, 4, 13, 12, 68, 61, 38, 40, 72, 79, 73, 75, 77, 67, 58, 56, 55, 54, 28, 36, 27, 48, 42, 30, 41, 50, 29, 44, 47, 35, 34, 53, 17, 15, 69, 70, 71]","[2.944, 3.153, 1.355, 3.608, 6.477, 3.188, 0.664, 2.613, 12.438, 1.283, 5.853, 0.574, 4.518, 2.031, 30.511, 22.051, 30.734, 11.41, 2.357, 4.088, 0.797, 3.565, 0.588, 6.618, 1.707, 1.656, 2.547, 6.959, 1.695, 7.18, 1.905, 8.068, 2.854, 1.519, 2.667, 1.742, 2.379, 2.748, 2.347, 1.742, 7.506, 1.421, 2.102, 1.682, 1.738]"
7-Feb-23,"[8, 53, 61, 19, 44, 49, 48, 46, 41, 40, 37, 42, 31, 28, 21, 7, 24, 16, 1, 20, 11, 18, 14, 12, 23, 33, 34, 79, 78, 47, 56, 65, 63, 45, 66, 77, 68, 62, 71, 67, 76, 72, 54]","[7.462, 11.585, 2.609, 16.472, 30.76, 2.556, 5.468, 3.706, 4.884, 13.394, 5.242, 1.266, 11.618, 8.506, 14.168, 2.164, 3.132, 3.239, 5.037, 7.67, 1.014, 1.914, 3.65, 5.019, 2.329, 2.883, 0.849, 6.057, 4.102, 14.198, 1.4, 0.579, 6.237, 11.347, 3.721, 8.556, 2.455, 1.257, 3.089, 3.045, 2.503, 4.362, 1.409]"
9-Feb-23,"[11, 64, 76, 14, 4, 74, 66, 56, 70, 60, 69, 62, 80, 75, 63, 72, 54, 58, 57, 50, 41, 44, 46, 28, 37, 38, 29, 20, 19, 9, 17, 8, 7, 51, 42, 43, 34, 48, 32, 31, 5, 23, 22]","[3.373, 2.691, 2.615, 4.483, 3.1, 13.139, 1.434, 4.609, 3.334, 3.184, 11.791, 3.756, 0.88, 2.987, 4.338, 2.493, 3.479, 2.845, 2.293, 3.046, 2.649, 8.903, 2.343, 10.219, 1.604, 2.682, 1.371, 6.762, 2.642, 1.244, 5.11, 3.914, 0.756, 2.638, 6.788, 0.419, 1.653, 6.02, 2.943, 2.056, 2.868, 3.392, 0.973]"
