date,day_of_week,puzzle_id,hint,puzzle,solution
2023-01-23,Monday,147596,"[31, 33, 39, 62, 20, 51, 75, 38, 48, 72, 70, 24, 40, 59, 29, 3, 64, 61, 11, 44, 50, 54, 7, 10, 32, 47, 80, 63, 6, 37, 53, 8, 13, 18, 46, 68, 12, 26, 34, 49, 55, 69, 77]","[7, 5, 2, 0, 4, 8, 0, 0, 0, 6, 0, 0, 0, 0, 7, 8, 5, 4, 0, 8, 0, 3, 1, 5, 0, 7, 0, 4, 3, 0, 9, 0, 0, 0, 0, 8, 2, 0, 0, 0, 0, 4, 9, 1, 0, 5, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 1, 8, 0, 7, 0, 0, 0, 0, 5, 7, 3, 0, 0, 0, 6, 0, 6, 7, 0, 5, 0, 3, 9, 0]","[7, 5, 2, 6, 4, 8, 1, 3, 9, 6, 1, 3, 2, 9, 7, 8, 5, 4, 9, 8, 4, 3, 1, 5, 6, 7, 2, 4, 3, 6, 9, 7, 1, 5, 2, 8, 2, 7, 8, 5, 6, 4, 9, 1, 3, 5, 9, 1, 8, 2, 3, 4, 6, 7, 3, 2, 9, 1, 8, 6, 7, 4, 5, 1, 4, 5, 7, 3, 9, 2, 8, 6, 8, 6, 7, 4, 5, 2, 3, 9, 1]"
2023-01-25,Wednesday,147602,"[15, 23, 64, 49, 38, 48, 78, 20, 33, 41, 55, 27, 57, 80, 11, 72, 59, 21, 32, 46, 53, 37, 2, 51, 43, 29, 76, 71, 79, 67, 63, 58, 70, 54, 6, 12, 18, 44, 61, 4, 17, 19, 34]","[1, 5, 0, 3, 0, 4, 0, 8, 6, 6, 4, 0, 0, 9, 5, 0, 3, 0, 0, 0, 0, 0, 8, 0, 4, 5, 9, 0, 9, 0, 8, 7, 0, 0, 0, 5, 2, 0, 0, 9, 4, 0, 6, 0, 0, 3, 0, 7, 0, 0, 2, 0, 4, 0, 0, 0, 6, 0, 0, 0, 2, 0, 1, 0, 0, 4, 2, 0, 7, 8, 0, 0, 0, 7, 2, 1, 0, 9, 0, 0, 0]","[1, 5, 9, 3, 2, 4, 7, 8, 6, 6, 4, 8, 7, 9, 5, 1, 3, 2, 7, 2, 3, 6, 8, 1, 4, 5, 9, 4, 9, 1, 8, 7, 6, 3, 2, 5, 2, 8, 5, 9, 4, 3, 6, 1, 7, 3, 6, 7, 5, 1, 2, 9, 4, 8, 9, 3, 6, 4, 5, 8, 2, 7, 1, 5, 1, 4, 2, 6, 7, 8, 9, 3, 8, 7, 2, 1, 3, 9, 5, 6, 4]"
2023-01-26,Thursday,147605,"[67, 48, 61, 64, 15, 17, 20, 51, 22, 63, 79, 21, 34, 68, 49, 6, 62, 37, 7, 18, 29, 80, 43, 9, 74, 46, 4, 44, 12, 41, 58, 65, 78, 1, 3, 16, 19, 47, 54, 77, 42, 38, 50]","[1, 0, 5, 0, 0, 7, 0, 0, 6, 0, 6, 4, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 9, 3, 3, 1, 0, 7, 8, 9, 6, 0, 5, 7, 0, 0, 2, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 2, 0, 7, 1, 6, 0, 2, 9, 0, 0, 0, 0, 0, 9, 0, 0, 2, 7, 8, 4, 2, 0, 5, 7, 0, 0, 0, 0]","[1, 3, 5, 8, 9, 7, 4, 2, 6, 9, 6, 4, 3, 2, 1, 5, 8, 7, 2, 8, 7, 4, 6, 5, 1, 9, 3, 3, 1, 2, 7, 8, 9, 6, 4, 5, 7, 4, 6, 2, 5, 3, 8, 1, 9, 5, 9, 8, 1, 4, 6, 7, 3, 2, 8, 7, 1, 6, 3, 2, 9, 5, 4, 6, 5, 3, 9, 1, 4, 2, 7, 8, 4, 2, 9, 5, 7, 8, 3, 6, 1]"
2023-01-27,Friday,147608,"[26, 29, 40, 54, 70, 14, 45, 76, 64, 44, 17, 77, 63, 68, 80, 48, 37, 30, 67, 34, 50, 57, 35, 49, 55, 78, 5, 18, 43, 47, 19, 8, 20, 52, 58, 69, 12, 0, 13, 24, 39, 59, 79]","[0, 4, 3, 5, 2, 0, 1, 7, 0, 1, 2, 7, 0, 0, 0, 3, 9, 0, 0, 0, 0, 3, 1, 7, 0, 2, 0, 6, 8, 0, 0, 5, 3, 2, 0, 0, 2, 0, 9, 0, 0, 6, 7, 0, 0, 0, 7, 0, 0, 0, 0, 4, 0, 8, 0, 0, 2, 0, 0, 0, 5, 3, 7, 0, 0, 8, 9, 0, 0, 0, 0, 1, 7, 6, 1, 4, 0, 0, 0, 0, 0]","[8, 4, 3, 5, 2, 9, 1, 7, 6, 1, 2, 7, 6, 8, 4, 3, 9, 5, 9, 5, 6, 3, 1, 7, 8, 2, 4, 6, 8, 4, 7, 5, 3, 2, 1, 9, 2, 1, 9, 8, 4, 6, 7, 5, 3, 3, 7, 5, 2, 9, 1, 4, 6, 8, 4, 9, 2, 1, 6, 8, 5, 3, 7, 5, 3, 8, 9, 7, 2, 6, 4, 1, 7, 6, 1, 4, 3, 5, 9, 8, 2]"
2023-01-29,Sunday,147614,"[12, 28, 67, 25, 60, 19, 77, 56, 10, 32, 71, 58, 23, 54, 66, 79, 37, 11, 7, 50, 1, 33, 63, 76, 48, 2, 36, 62, 35, 39, 45, 3, 34, 46, 65, 78, 80, 42, 5, 9, 24, 44, 49]","[5, 0, 0, 0, 8, 0, 1, 0, 6, 0, 0, 0, 0, 7, 3, 2, 8, 4, 4, 0, 7, 1, 2, 0, 0, 0, 3, 7, 0, 9, 2, 6, 0, 0, 0, 0, 0, 0, 3, 0, 4, 5, 0, 1, 0, 0, 0, 1, 0, 0, 0, 6, 2, 5, 0, 9, 0, 7, 0, 4, 0, 3, 0, 0, 7, 0, 0, 0, 2, 8, 9, 0, 1, 2, 5, 9, 0, 0, 0, 0, 0]","[5, 3, 2, 4, 8, 9, 1, 7, 6, 9, 1, 6, 5, 7, 3, 2, 8, 4, 4, 8, 7, 1, 2, 6, 9, 5, 3, 7, 5, 9, 2, 6, 1, 3, 4, 8, 2, 6, 3, 8, 4, 5, 7, 1, 9, 8, 4, 1, 3, 9, 7, 6, 2, 5, 6, 9, 8, 7, 1, 4, 5, 3, 2, 3, 7, 4, 6, 5, 2, 8, 9, 1, 1, 2, 5, 9, 3, 8, 4, 6, 7]"
2023-01-30,Monday,147617,"[16, 45, 20, 48, 23, 42, 46, 79, 3, 28, 44, 70, 72, 6, 52, 76, 19, 54, 71, 68, 74, 39, 62, 21, 67, 41, 33, 40, 56, 69, 75, 10, 5, 26, 31, 51, 61, 2, 14, 4, 17, 18, 29]","[8, 9, 0, 0, 0, 0, 0, 2, 4, 4, 0, 6, 3, 2, 0, 9, 0, 0, 0, 0, 0, 0, 9, 0, 6, 7, 0, 7, 0, 0, 4, 0, 3, 0, 9, 2, 1, 2, 3, 0, 0, 0, 0, 5, 0, 0, 0, 8, 0, 6, 5, 0, 0, 7, 0, 8, 0, 5, 4, 6, 2, 0, 0, 2, 5, 4, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 5, 0, 8]","[8, 9, 1, 6, 5, 7, 3, 2, 4, 4, 7, 6, 3, 2, 1, 9, 8, 5, 5, 3, 2, 8, 9, 4, 6, 7, 1, 7, 6, 5, 4, 1, 3, 8, 9, 2, 1, 2, 3, 9, 7, 8, 4, 5, 6, 9, 4, 8, 2, 6, 5, 1, 3, 7, 3, 8, 7, 5, 4, 6, 2, 1, 9, 2, 5, 4, 1, 8, 9, 7, 6, 3, 6, 1, 9, 7, 3, 2, 5, 4, 8]"
2023-01-31,Tuesday,147620,"[25, 49, 62, 73, 16, 37, 65, 29, 57, 44, 69, 27, 12, 20, 46, 61, 32, 35, 41, 3, 28, 40, 59, 63, 43, 48, 71, 76, 15, 74, 58, 0, 17, 23, 51, 70, 75, 1, 13, 24, 45, 56, 68]","[0, 0, 1, 0, 5, 3, 7, 8, 9, 7, 8, 4, 0, 0, 1, 0, 0, 0, 5, 3, 0, 8, 7, 0, 0, 0, 4, 0, 0, 0, 5, 2, 0, 1, 6, 0, 1, 0, 2, 6, 0, 0, 9, 0, 0, 0, 0, 7, 0, 0, 8, 0, 4, 5, 3, 2, 0, 0, 0, 0, 5, 0, 0, 0, 7, 0, 1, 9, 0, 0, 0, 0, 9, 0, 0, 0, 0, 5, 4, 7, 6]","[2, 6, 1, 4, 5, 3, 7, 8, 9, 7, 8, 4, 9, 6, 1, 3, 5, 2, 5, 3, 9, 8, 7, 2, 6, 1, 4, 8, 4, 3, 5, 2, 9, 1, 6, 7, 1, 5, 2, 6, 4, 7, 9, 3, 8, 6, 9, 7, 3, 1, 8, 2, 4, 5, 3, 2, 6, 7, 8, 4, 5, 9, 1, 4, 7, 5, 1, 9, 6, 8, 2, 3, 9, 1, 8, 2, 3, 5, 4, 7, 6]"
2023-02-01,Wednesday,147623,"[21, 43, 69, 58, 17, 31, 66, 14, 60, 63, 37, 50, 35, 41, 80, 11, 57, 72, 40, 29, 48, 59, 79, 4, 8, 19, 33, 77, 65, 5, 10, 27, 39, 51, 56, 70, 7, 13, 18, 38, 53, 68, 78]","[2, 3, 7, 1, 0, 0, 4, 0, 0, 6, 0, 0, 9, 0, 0, 1, 7, 0, 0, 0, 1, 0, 7, 4, 6, 3, 5, 0, 1, 0, 8, 0, 2, 0, 4, 0, 9, 0, 0, 0, 0, 0, 3, 0, 6, 3, 4, 2, 0, 9, 0, 0, 1, 0, 1, 8, 0, 0, 0, 0, 0, 9, 3, 0, 6, 0, 0, 1, 0, 0, 0, 4, 0, 2, 3, 7, 5, 0, 0, 0, 0]","[2, 3, 7, 1, 6, 5, 4, 8, 9, 6, 5, 4, 9, 8, 3, 1, 7, 2, 8, 9, 1, 2, 7, 4, 6, 3, 5, 5, 1, 6, 8, 3, 2, 9, 4, 7, 9, 7, 8, 5, 4, 1, 3, 2, 6, 3, 4, 2, 6, 9, 7, 5, 1, 8, 1, 8, 5, 4, 2, 6, 7, 9, 3, 7, 6, 9, 3, 1, 8, 2, 5, 4, 4, 2, 3, 7, 5, 9, 8, 6, 1]"
2023-02-02,Thursday,147626,"[26, 28, 32, 42, 54, 29, 55, 79, 20, 45, 60, 41, 2, 21, 63, 46, 40, 5, 57, 70, 8, 11, 36, 75, 10, 27, 58, 78, 53, 7, 44, 49, 43, 77, 13, 69, 6, 14, 19, 30, 52, 67, 72]","[2, 3, 0, 8, 1, 0, 0, 0, 0, 8, 0, 0, 3, 0, 0, 4, 1, 9, 9, 0, 0, 0, 7, 5, 8, 3, 0, 0, 0, 0, 0, 9, 0, 7, 4, 1, 0, 9, 6, 5, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 7, 9, 0, 0, 0, 0, 2, 0, 0, 4, 0, 7, 6, 0, 7, 5, 1, 0, 8, 0, 0, 3, 0, 1, 9, 0, 3, 0, 0, 0, 4]","[2, 3, 4, 8, 1, 9, 6, 5, 7, 8, 5, 7, 3, 2, 6, 4, 1, 9, 9, 6, 1, 4, 7, 5, 8, 3, 2, 5, 2, 8, 6, 9, 3, 7, 4, 1, 7, 9, 6, 5, 4, 1, 3, 2, 8, 1, 4, 3, 2, 8, 7, 9, 6, 5, 3, 8, 2, 9, 5, 4, 1, 7, 6, 4, 7, 5, 1, 6, 8, 2, 9, 3, 6, 1, 9, 7, 3, 2, 5, 8, 4]"
2023-02-03,Friday,147629,"[50, 56, 33, 40, 57, 80, 20, 37, 61, 67, 27, 49, 66, 44, 12, 32, 36, 74, 3, 25, 42, 47, 68, 73, 78, 55, 2, 26, 34, 45, 60, 43, 71, 10, 63, 4, 59, 1, 17, 22, 54, 70, 77]","[3, 0, 0, 0, 0, 7, 8, 5, 9, 1, 0, 5, 0, 6, 8, 3, 7, 0, 7, 9, 0, 3, 0, 5, 2, 0, 0, 0, 3, 4, 2, 1, 0, 0, 0, 8, 0, 0, 2, 4, 0, 6, 0, 0, 0, 0, 7, 0, 8, 0, 0, 4, 9, 2, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 6, 7, 0, 0, 0, 9, 0, 0, 8, 0, 0, 6, 3, 0, 0, 2, 0]","[3, 4, 6, 1, 2, 7, 8, 5, 9, 1, 2, 5, 9, 6, 8, 3, 7, 4, 7, 9, 8, 3, 4, 5, 2, 1, 6, 5, 3, 4, 2, 1, 9, 7, 6, 8, 9, 8, 2, 4, 7, 6, 1, 3, 5, 6, 7, 1, 8, 5, 3, 4, 9, 2, 4, 5, 3, 7, 9, 2, 6, 8, 1, 2, 6, 7, 5, 8, 1, 9, 4, 3, 8, 1, 9, 6, 3, 4, 5, 2, 7]"
