date,day_of_week,puzzle_id,hint,puzzle,solution
1/23/2023,Monday,147597,"[28, 42, 33, 70, 43, 34, 5, 77, 56, 76, 41, 63, 38, 72, 68, 32, 37, 36, 55, 80, 64, 74, 24, 0, 19, 45, 15, 47, 9, 4, 21, 1, 60, 16, 6, 71, 7, 13, 46, 8, 31, 52, 57, 58, 12, 20, 35, 48, 61, 67, 11, 3, 2, 17, 22, 66]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 4, 0, 0, 0, 0, 7, 0, 9, 1, 5, 0, 2, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 0, 0, 0, 2, 0, 0, 0, 0, 2, 5, 6, 0, 4, 1, 0, 0, 0, 0, 9, 0, 0, 8, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0, 5, 0, 8, 0, 0, 7, 6, 0]","[3, 2, 6, 1, 9, 8, 5, 4, 7, 9, 7, 1, 5, 4, 3, 8, 2, 6, 4, 8, 5, 2, 6, 7, 3, 9, 1, 5, 4, 2, 9, 7, 6, 1, 8, 3, 6, 3, 7, 4, 8, 1, 9, 5, 2, 8, 1, 9, 3, 2, 5, 6, 7, 4, 1, 6, 4, 7, 5, 9, 2, 3, 8, 7, 9, 8, 6, 3, 2, 4, 1, 5, 2, 5, 3, 8, 1, 4, 7, 6, 9]"
1/25/2023,Wednesday,147603,"[66, 3, 27, 40, 29, 41, 43, 52, 24, 19, 23, 10, 75, 20, 57, 48, 12, 26, 49, 64, 70, 76, 55, 58, 69, 34, 33, 68, 79, 54, 35, 78, 80, 51, 59, 16, 71, 22, 60, 65, 77, 17, 46, 18, 38, 53, 13, 6, 36, 11, 9, 74, 47, 72, 1, 0]","[0, 0, 5, 0, 8, 1, 0, 9, 7, 0, 0, 0, 0, 0, 9, 1, 0, 0, 0, 0, 0, 6, 0, 0, 0, 8, 0, 0, 4, 0, 2, 6, 3, 0, 0, 0, 0, 5, 0, 9, 0, 0, 2, 0, 1, 7, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 4, 9, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]","[6, 2, 5, 4, 8, 1, 3, 9, 7, 4, 7, 8, 5, 3, 9, 1, 2, 6, 3, 9, 1, 6, 2, 7, 4, 8, 5, 1, 4, 9, 2, 6, 3, 5, 7, 8, 8, 5, 3, 9, 7, 4, 2, 6, 1, 7, 6, 2, 1, 5, 8, 9, 4, 3, 5, 1, 7, 8, 9, 2, 6, 3, 4, 9, 8, 6, 3, 4, 5, 7, 1, 2, 2, 3, 4, 7, 1, 6, 8, 5, 9]"
1/26/2023,Thursday,147606,"[66, 0, 73, 57, 4, 40, 72, 41, 76, 50, 51, 74, 18, 32, 8, 58, 62, 49, 67, 14, 78, 79, 28, 42, 30, 52, 2, 36, 43, 46, 48, 54, 5, 6, 9, 11, 38, 44, 45, 56, 70, 3, 17, 34, 71, 77, 7, 10, 16, 21, 23, 26, 33, 75, 12, 19, 24, 35]","[0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 7, 0, 0, 0, 0, 3, 0, 7, 0, 0, 9, 0, 3, 0, 7, 0, 6, 0, 0, 0, 0, 0, 2, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 1, 6, 2, 0, 6, 4, 5, 0, 0, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]","[7, 9, 4, 3, 8, 6, 1, 5, 2, 5, 1, 8, 4, 2, 9, 7, 3, 6, 2, 6, 3, 1, 7, 5, 4, 9, 8, 3, 5, 7, 9, 6, 2, 8, 4, 1, 4, 2, 6, 8, 1, 3, 5, 7, 9, 9, 8, 1, 5, 4, 7, 2, 6, 3, 8, 3, 9, 7, 5, 1, 6, 2, 4, 6, 4, 5, 2, 9, 8, 3, 1, 7, 1, 7, 2, 6, 3, 4, 9, 8, 5]"
1/27/2023,Friday,147609,"[13, 2, 25, 31, 62, 20, 52, 6, 30, 33, 71, 35, 0, 10, 23, 11, 19, 22, 50, 3, 9, 21, 77, 4, 39, 68, 73, 17, 46, 48, 16, 38, 44, 47, 49, 57, 64, 75, 15, 40, 53, 60, 54, 78, 70, 72, 29, 58, 63, 27, 65, 69, 56, 43, 42, 61, 67]","[0, 7, 0, 0, 0, 3, 0, 5, 9, 0, 0, 0, 2, 0, 4, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 0, 3, 0, 5, 0, 0, 0, 8, 0, 1, 0, 2, 4, 0, 0, 0, 9, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 6, 0, 8, 0, 0, 7, 4]","[8, 7, 2, 6, 1, 3, 4, 5, 9, 1, 3, 5, 2, 9, 4, 7, 6, 8, 9, 6, 4, 8, 7, 5, 1, 2, 3, 7, 5, 3, 4, 2, 8, 9, 1, 6, 2, 4, 1, 7, 6, 9, 3, 8, 5, 6, 8, 9, 3, 5, 1, 2, 4, 7, 5, 1, 8, 9, 4, 7, 6, 3, 2, 4, 2, 7, 5, 3, 6, 8, 9, 1, 3, 9, 6, 1, 8, 2, 5, 7, 4]"
1/29/2023,Sunday,147615,"[25, 35, 40, 16, 53, 43, 33, 36, 27, 0, 21, 32, 68, 5, 48, 49, 50, 6, 75, 61, 72, 17, 46, 54, 70, 78, 8, 10, 19, 42, 47, 80, 2, 20, 24, 26, 44, 55, 71, 76, 1, 13, 30, 37, 59, 64, 65, 67, 74, 12, 14, 29, 39, 57, 58, 73]","[0, 0, 0, 6, 7, 0, 0, 2, 0, 7, 0, 1, 0, 0, 0, 9, 0, 0, 8, 0, 0, 0, 5, 3, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 6, 0, 0, 0, 9, 0, 0, 6, 0, 0, 0, 3, 0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 5, 0, 0, 0, 3, 0, 7, 2, 0, 0, 3, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0]","[9, 5, 3, 6, 7, 1, 8, 2, 4, 7, 6, 1, 2, 4, 8, 9, 3, 5, 8, 4, 2, 9, 5, 3, 6, 7, 1, 5, 1, 8, 7, 2, 9, 4, 6, 3, 4, 7, 9, 8, 3, 6, 1, 5, 2, 3, 2, 6, 5, 1, 4, 7, 8, 9, 1, 8, 5, 4, 6, 2, 3, 9, 7, 2, 9, 4, 3, 8, 7, 5, 1, 6, 6, 3, 7, 1, 9, 5, 2, 4, 8]"
1/30/2023,Monday,147618,"[44, 45, 30, 80, 65, 5, 31, 62, 72, 42, 47, 71, 26, 10, 40, 52, 6, 11, 28, 7, 33, 1, 25, 68, 39, 60, 14, 20, 34, 78, 64, 70, 79, 16, 41, 59, 75, 0, 21, 50, 55, 76, 2, 3, 19, 27, 49, 56, 77, 4, 29, 48, 54, 57, 63, 67]","[0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 0, 0, 2, 5, 0, 1, 0, 4, 1, 0, 0, 0, 9, 3, 2, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 5, 4, 7, 9, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 4, 0, 8, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 8, 0, 0, 0, 9, 5, 0, 0, 0, 0, 0, 0]","[2, 5, 4, 6, 8, 1, 3, 9, 7, 9, 6, 3, 2, 5, 7, 1, 8, 4, 1, 8, 7, 4, 9, 3, 2, 5, 6, 8, 3, 2, 1, 4, 6, 9, 7, 5, 4, 7, 9, 5, 3, 8, 6, 1, 2, 5, 1, 6, 9, 7, 2, 4, 3, 8, 6, 4, 8, 7, 1, 9, 5, 2, 3, 7, 2, 1, 3, 6, 5, 8, 4, 9, 3, 9, 5, 8, 2, 4, 7, 6, 1]"
1/31/2023,Tuesday,147621,"[54, 29, 55, 36, 71, 57, 16, 2, 4, 52, 50, 22, 47, 48, 5, 59, 77, 39, 37, 11, 63, 64, 65, 14, 20, 43, 30, 68, 13, 42, 61, 31, 62, 75, 25, 15, 58, 80, 21, 0, 44, 78, 79, 6, 35, 19, 1, 27, 18, 28, 10, 26, 34, 41, 60, 67]","[0, 0, 0, 6, 0, 0, 0, 9, 7, 5, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 5, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 2, 7, 0, 0, 1, 0, 8, 0, 5, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 7, 5, 0, 6, 1, 3, 0, 7, 0, 0, 0, 0]","[4, 3, 1, 6, 5, 8, 2, 9, 7, 5, 6, 8, 2, 9, 7, 4, 1, 3, 9, 2, 7, 4, 3, 1, 5, 8, 6, 3, 9, 5, 7, 8, 4, 1, 6, 2, 1, 8, 4, 5, 2, 6, 3, 7, 9, 2, 7, 6, 9, 1, 3, 8, 4, 5, 7, 5, 9, 1, 4, 2, 6, 3, 8, 8, 4, 2, 3, 6, 9, 7, 5, 1, 6, 1, 3, 8, 7, 5, 9, 2, 4]"
2/1/2023,Wednesday,147624,"[25, 64, 56, 6, 8, 21, 3, 4, 22, 23, 5, 20, 0, 2, 58, 13, 57, 52, 78, 41, 27, 14, 48, 28, 9, 12, 31, 46, 49, 53, 24, 34, 37, 35, 61, 42, 73, 29, 71, 33, 36, 59, 79, 65, 62, 68, 72, 70, 54, 77, 10, 26, 43, 47, 60, 63]","[0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 7, 8, 9, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0, 0, 3, 2, 7, 0, 0, 0, 4, 7, 0, 0, 0, 0, 8, 2, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 0, 4, 0, 0, 0, 0, 2, 7, 5, 0, 0, 0, 6]","[8, 3, 7, 4, 9, 5, 6, 2, 1, 2, 5, 4, 1, 3, 6, 7, 8, 9, 6, 1, 9, 8, 2, 7, 3, 4, 5, 9, 2, 8, 5, 4, 3, 1, 6, 7, 1, 6, 3, 2, 7, 9, 8, 5, 4, 7, 4, 5, 6, 1, 8, 2, 9, 3, 4, 9, 6, 3, 8, 1, 5, 7, 2, 5, 7, 1, 9, 6, 2, 4, 3, 8, 3, 8, 2, 7, 5, 4, 9, 1, 6]"
2/2/2023,Thursday,147627,"[55, 28, 37, 80, 36, 49, 6, 11, 56, 27, 76, 61, 47, 72, 63, 59, 48, 2, 7, 18, 44, 19, 29, 50, 52, 43, 60, 65, 70, 74, 51, 53, 31, 17, 58, 79, 14, 24, 25, 30, 62, 67, 69, 10, 16, 21, 32, 41, 75, 1, 3, 5, 12, 40, 77, 4, 39]","[1, 0, 0, 0, 0, 0, 0, 0, 9, 9, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 6, 0, 9, 3, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 3, 4, 0, 0, 1, 0, 0, 0, 9, 0, 0, 8, 5, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 4, 0, 7, 0, 0, 1, 0, 8, 0, 0, 0, 0, 7, 0, 0]","[1, 2, 8, 7, 4, 6, 3, 5, 9, 9, 7, 3, 1, 5, 2, 4, 6, 8, 5, 4, 6, 8, 9, 3, 2, 1, 7, 7, 9, 2, 5, 6, 8, 1, 3, 4, 3, 6, 1, 2, 7, 4, 9, 8, 5, 8, 5, 4, 9, 3, 1, 6, 7, 2, 2, 1, 7, 3, 8, 9, 5, 4, 6, 6, 3, 5, 4, 2, 7, 8, 9, 1, 4, 8, 9, 6, 1, 5, 7, 2, 3]"
2/3/2023,Friday,147630,"[38, 19, 44, 47, 66, 78, 67, 5, 70, 49, 79, 48, 22, 24, 13, 18, 39, 57, 40, 76, 41, 58, 25, 62, 15, 21, 43, 36, 51, 6, 35, 3, 7, 17, 33, 52, 8, 9, 12, 34, 71, 10, 27, 65, 80, 1, 29, 2, 28, 46, 56, 59, 72, 73, 45, 55, 63, 64, 68, 77]","[9, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 0, 3, 0, 0, 0, 4, 0, 0, 1, 0, 0, 6, 0, 0, 0, 9, 8, 3, 0, 0, 0, 0, 5, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 9, 3, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 6, 0, 0, 0, 0, 0]","[9, 8, 1, 7, 3, 6, 5, 4, 2, 6, 7, 5, 4, 9, 2, 1, 3, 8, 2, 3, 4, 8, 5, 1, 9, 7, 6, 1, 2, 6, 9, 8, 3, 7, 5, 4, 7, 5, 9, 2, 1, 4, 6, 8, 3, 8, 4, 3, 5, 6, 7, 2, 1, 9, 3, 6, 8, 1, 7, 9, 4, 2, 5, 4, 9, 7, 3, 2, 5, 8, 6, 1, 5, 1, 2, 6, 4, 8, 3, 9, 7]"
