date,day_of_week,puzzle_id,hint,puzzle,solution
8/30/2021,Monday,146062,"[43, 50, 70, 12, 33, 20, 40, 14, 8, 30, 38, 55, 68, 58, 73, 7, 45, 60, 75, 46, 34, 5, 74, 62, 76, 15, 3, 11, 42, 71, 72, 26, 47, 10, 54, 80, 1, 17, 21, 27, 41, 52, 67]","[1, 0, 6, 0, 4, 0, 9, 0, 0, 2, 0, 0, 0, 8, 0, 0, 5, 0, 5, 8, 0, 0, 2, 1, 6, 3, 0, 0, 3, 1, 0, 5, 8, 0, 0, 6, 6, 5, 0, 4, 0, 0, 0, 0, 8, 0, 0, 0, 1, 3, 0, 2, 0, 5, 0, 0, 7, 5, 0, 3, 0, 4, 0, 4, 1, 8, 9, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 0]","[1, 7, 6, 3, 4, 5, 9, 8, 2, 2, 4, 3, 6, 8, 9, 1, 5, 7, 5, 8, 9, 7, 2, 1, 6, 3, 4, 7, 3, 1, 2, 5, 8, 4, 9, 6, 6, 5, 2, 4, 9, 7, 3, 1, 8, 8, 9, 4, 1, 3, 6, 2, 7, 5, 9, 2, 7, 5, 6, 3, 8, 4, 1, 4, 1, 8, 9, 7, 2, 5, 6, 3, 3, 6, 5, 8, 1, 4, 7, 2, 9]"
9/8/2021,Wednesday,146089,"[15, 63, 53, 73, 24, 10, 26, 50, 74, 39, 54, 67, 79, 28, 9, 35, 59, 4, 25, 46, 57, 75, 56, 31, 43, 8, 69, 62, 77, 34, 38, 0, 23, 44, 47, 64, 6, 13, 18, 29, 41, 52, 66]","[0, 5, 3, 8, 0, 1, 0, 7, 0, 0, 0, 6, 3, 0, 9, 0, 4, 1, 0, 9, 1, 7, 5, 0, 0, 0, 0, 3, 0, 0, 4, 0, 6, 8, 0, 0, 8, 7, 0, 0, 3, 0, 6, 0, 0, 9, 0, 0, 5, 7, 0, 1, 0, 0, 0, 2, 0, 0, 8, 0, 4, 3, 0, 0, 0, 7, 0, 0, 3, 0, 8, 6, 6, 0, 0, 0, 4, 0, 7, 0, 2]","[4, 5, 3, 8, 6, 1, 2, 7, 9, 7, 8, 6, 3, 2, 9, 5, 4, 1, 2, 9, 1, 7, 5, 4, 3, 6, 8, 3, 1, 2, 4, 9, 6, 8, 5, 7, 8, 7, 5, 1, 3, 2, 6, 9, 4, 9, 6, 4, 5, 7, 8, 1, 2, 3, 1, 2, 9, 6, 8, 7, 4, 3, 5, 5, 4, 7, 2, 1, 3, 9, 8, 6, 6, 3, 8, 9, 4, 5, 7, 1, 2]"
9/9/2021,Thursday,146092,"[52, 69, 26, 40, 54, 14, 13, 33, 55, 80, 25, 18, 42, 59, 71, 36, 77, 24, 5, 19, 53, 56, 79, 27, 39, 57, 32, 12, 28, 43, 76, 6, 8, 10, 49, 7, 30, 46, 58, 65, 78, 11, 64]","[2, 3, 1, 4, 5, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 8, 4, 2, 0, 0, 6, 9, 2, 7, 0, 0, 0, 0, 0, 3, 0, 4, 0, 0, 9, 5, 0, 2, 9, 0, 0, 1, 0, 0, 7, 1, 0, 4, 5, 0, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 6, 6, 0, 0, 1, 8, 9, 0, 3, 0, 9, 4, 2, 3, 0, 0, 0, 0, 0]","[2, 3, 1, 4, 5, 8, 6, 7, 9, 7, 9, 5, 6, 1, 3, 8, 4, 2, 4, 8, 6, 9, 2, 7, 5, 1, 3, 8, 6, 3, 7, 4, 2, 1, 9, 5, 5, 2, 9, 8, 3, 1, 4, 6, 7, 1, 7, 4, 5, 9, 6, 3, 2, 8, 3, 1, 8, 2, 7, 4, 9, 5, 6, 6, 5, 7, 1, 8, 9, 2, 3, 4, 9, 4, 2, 3, 6, 5, 7, 8, 1]"
9/10/2021,Friday,146095,"[40, 52, 56, 69, 13, 46, 57, 32, 15, 41, 53, 58, 70, 9, 26, 39, 74, 22, 30, 45, 78, 8, 37, 25, 80, 6, 35, 36, 55, 67, 79, 23, 33, 38, 66, 73, 0, 5, 10, 31, 47, 71, 75]","[0, 6, 1, 2, 4, 0, 0, 3, 0, 0, 0, 3, 7, 0, 5, 0, 9, 6, 7, 2, 5, 6, 0, 0, 8, 0, 0, 6, 4, 2, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8, 3, 0, 0, 0, 5, 9, 7, 4, 0, 0, 8, 0, 0, 0, 0, 3, 7, 4, 9, 1, 3, 7, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 7, 6, 0, 0, 0]","[9, 6, 1, 2, 4, 8, 5, 3, 7, 4, 8, 3, 7, 1, 5, 2, 9, 6, 7, 2, 5, 6, 3, 9, 8, 1, 4, 6, 4, 2, 3, 8, 1, 9, 7, 5, 5, 7, 9, 4, 6, 2, 1, 8, 3, 3, 1, 8, 5, 9, 7, 4, 6, 2, 8, 5, 6, 1, 2, 3, 7, 4, 9, 1, 3, 7, 9, 5, 4, 6, 2, 8, 2, 9, 4, 8, 7, 6, 3, 5, 1]"
9/12/2021,Sunday,146101,"[25, 17, 65, 76, 60, 37, 49, 68, 34, 55, 75, 9, 10, 51, 61, 66, 3, 35, 72, 5, 31, 44, 11, 33, 45, 7, 42, 48, 56, 71, 77, 13, 47, 18, 46, 20, 6, 14, 19, 30, 38, 63, 79]","[3, 8, 6, 0, 4, 0, 0, 0, 5, 0, 0, 0, 6, 0, 0, 1, 7, 0, 0, 0, 0, 9, 5, 8, 6, 0, 4, 8, 3, 4, 0, 0, 5, 0, 0, 0, 5, 0, 0, 8, 1, 9, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 8, 2, 6, 0, 0, 7, 2, 1, 0, 0, 9, 0, 7, 0, 0, 9, 0, 4, 1, 0, 0, 9, 5, 0, 0, 0, 7, 0, 6]","[3, 8, 6, 1, 4, 7, 2, 9, 5, 4, 5, 9, 6, 3, 2, 1, 7, 8, 7, 2, 1, 9, 5, 8, 6, 3, 4, 8, 3, 4, 2, 7, 5, 9, 6, 1, 5, 6, 2, 8, 1, 9, 3, 4, 7, 9, 1, 7, 3, 6, 4, 5, 8, 2, 6, 4, 3, 7, 2, 1, 8, 5, 9, 2, 7, 8, 5, 9, 6, 4, 1, 3, 1, 9, 5, 4, 8, 3, 7, 2, 6]"
9/13/2021,Monday,146104,"[30, 71, 14, 70, 26, 64, 13, 33, 46, 59, 79, 18, 25, 29, 60, 63, 68, 80, 48, 4, 20, 32, 36, 17, 43, 49, 56, 77, 1, 42, 7, 3, 76, 31, 38, 51, 75, 6, 12, 19, 47, 62, 72]","[6, 0, 7, 0, 0, 1, 0, 0, 5, 1, 4, 2, 0, 0, 0, 6, 8, 0, 0, 0, 0, 3, 2, 6, 7, 0, 0, 3, 2, 0, 0, 0, 0, 0, 9, 7, 0, 6, 0, 5, 7, 9, 0, 0, 4, 7, 0, 0, 0, 0, 4, 0, 6, 8, 2, 8, 0, 7, 6, 0, 0, 1, 0, 0, 0, 5, 8, 9, 0, 3, 0, 0, 0, 7, 6, 0, 0, 0, 8, 0, 0]","[6, 3, 7, 4, 8, 1, 9, 2, 5, 1, 4, 2, 9, 5, 7, 6, 8, 3, 5, 9, 8, 3, 2, 6, 7, 4, 1, 3, 2, 4, 6, 1, 8, 5, 9, 7, 8, 6, 1, 5, 7, 9, 2, 3, 4, 7, 5, 9, 2, 3, 4, 1, 6, 8, 2, 8, 3, 7, 6, 5, 4, 1, 9, 4, 1, 5, 8, 9, 2, 3, 7, 6, 9, 7, 6, 1, 4, 3, 8, 5, 2]"
9/13/2021,Monday,146104,"[30, 71, 14, 70, 26, 64, 13, 33, 46, 59, 79, 18, 25, 29, 60, 63, 68, 80, 48, 4, 20, 32, 36, 17, 43, 49, 56, 77, 1, 42, 7, 3, 76, 31, 38, 51, 75, 6, 12, 19, 47, 62, 72]","[6, 0, 7, 0, 0, 1, 0, 0, 5, 1, 4, 2, 0, 0, 0, 6, 8, 0, 0, 0, 0, 3, 2, 6, 7, 0, 0, 3, 2, 0, 0, 0, 0, 0, 9, 7, 0, 6, 0, 5, 7, 9, 0, 0, 4, 7, 0, 0, 0, 0, 4, 0, 6, 8, 2, 8, 0, 7, 6, 0, 0, 1, 0, 0, 0, 5, 8, 9, 0, 3, 0, 0, 0, 7, 6, 0, 0, 0, 8, 0, 0]","[6, 3, 7, 4, 8, 1, 9, 2, 5, 1, 4, 2, 9, 5, 7, 6, 8, 3, 5, 9, 8, 3, 2, 6, 7, 4, 1, 3, 2, 4, 6, 1, 8, 5, 9, 7, 8, 6, 1, 5, 7, 9, 2, 3, 4, 7, 5, 9, 2, 3, 4, 1, 6, 8, 2, 8, 3, 7, 6, 5, 4, 1, 9, 4, 1, 5, 8, 9, 2, 3, 7, 6, 9, 7, 6, 1, 4, 3, 8, 5, 2]"
9/14/2021,Tuesday,146107,"[21, 53, 60, 63, 17, 49, 69, 28, 48, 68, 72, 61, 9, 25, 33, 40, 74, 36, 52, 59, 64, 1, 47, 67, 39, 23, 79, 35, 6, 14, 8, 78, 0, 12, 29, 41, 58, 7, 10, 22, 57, 65, 80]","[0, 0, 4, 5, 8, 9, 0, 0, 0, 0, 0, 8, 0, 3, 0, 6, 4, 0, 5, 1, 3, 0, 0, 0, 8, 0, 7, 2, 0, 0, 3, 1, 4, 0, 5, 0, 0, 4, 5, 0, 0, 0, 2, 1, 8, 1, 9, 0, 0, 0, 2, 7, 0, 0, 6, 5, 1, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 0, 0, 0, 7, 1, 0, 7, 0, 1, 4, 5, 0, 0, 0]","[7, 6, 4, 5, 8, 9, 1, 2, 3, 9, 2, 8, 7, 3, 1, 6, 4, 5, 5, 1, 3, 4, 2, 6, 8, 9, 7, 2, 8, 7, 3, 1, 4, 9, 5, 6, 3, 4, 5, 6, 9, 7, 2, 1, 8, 1, 9, 6, 8, 5, 2, 7, 3, 4, 6, 5, 1, 2, 7, 3, 4, 8, 9, 4, 3, 2, 9, 6, 8, 5, 7, 1, 8, 7, 9, 1, 4, 5, 3, 6, 2]"
9/15/2021,Wednesday,146110,"[16, 36, 56, 71, 26, 40, 47, 68, 11, 44, 50, 72, 39, 27, 35, 49, 61, 63, 58, 79, 2, 23, 30, 37, 69, 76, 0, 42, 48, 55, 80, 14, 8, 12, 19, 65, 78, 7, 13, 18, 33, 46, 66]","[0, 8, 0, 3, 7, 6, 4, 0, 0, 3, 4, 0, 0, 0, 0, 6, 0, 2, 0, 0, 6, 4, 8, 0, 7, 9, 0, 0, 7, 9, 0, 5, 8, 0, 3, 0, 0, 0, 4, 0, 0, 1, 0, 5, 0, 5, 0, 0, 0, 0, 0, 8, 2, 6, 2, 0, 0, 7, 0, 5, 3, 0, 1, 0, 6, 0, 0, 9, 0, 0, 7, 0, 0, 3, 1, 8, 0, 4, 0, 0, 0]","[9, 8, 2, 3, 7, 6, 4, 1, 5, 3, 4, 7, 5, 1, 9, 6, 8, 2, 1, 5, 6, 4, 8, 2, 7, 9, 3, 6, 7, 9, 2, 5, 8, 1, 3, 4, 8, 2, 4, 6, 3, 1, 9, 5, 7, 5, 1, 3, 9, 4, 7, 8, 2, 6, 2, 9, 8, 7, 6, 5, 3, 4, 1, 4, 6, 5, 1, 9, 3, 2, 7, 8, 7, 3, 1, 8, 2, 4, 5, 6, 9]"
9/16/2021,Thursday,146113,"[17, 76, 77, 63, 22, 13, 69, 75, 37, 53, 49, 57, 65, 5, 8, 23, 73, 61, 0, 28, 41, 51, 58, 74, 6, 36, 52, 55, 20, 30, 62, 34, 44, 27, 4, 9, 64, 3, 16, 19, 35, 60, 68]","[0, 4, 6, 0, 0, 0, 0, 2, 0, 0, 1, 5, 8, 0, 7, 6, 0, 0, 2, 0, 0, 4, 0, 0, 1, 8, 9, 0, 0, 9, 0, 5, 2, 4, 0, 0, 0, 0, 4, 6, 3, 0, 5, 9, 0, 5, 6, 3, 9, 0, 4, 0, 0, 0, 4, 0, 2, 0, 0, 9, 0, 0, 0, 0, 0, 0, 5, 7, 0, 0, 4, 8, 3, 0, 0, 0, 0, 0, 9, 1, 7]","[8, 4, 6, 3, 9, 1, 7, 2, 5, 9, 1, 5, 8, 2, 7, 6, 3, 4, 2, 3, 7, 4, 6, 5, 1, 8, 9, 1, 8, 9, 7, 5, 2, 4, 6, 3, 7, 2, 4, 6, 3, 8, 5, 9, 1, 5, 6, 3, 9, 1, 4, 8, 7, 2, 4, 7, 2, 1, 8, 9, 3, 5, 6, 6, 9, 1, 5, 7, 3, 2, 4, 8, 3, 5, 8, 2, 4, 6, 9, 1, 7]"
