0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
13.395,2.952,1.854,22.153,1.588,1.440,2.803,2.029,2.741,2.725,9.639,0.744,8.650,1.726,0.782,17.773,1.296,3.453,3.537,2.645,5.382,1.650,3.191,24.727,4.673,2.427,4.719,4.178,1.034,12.867,4.240,1.993,4.192,3.418,11.204,1.898,7.362,1.785,2.155,0.596,2.559,1.774,2.351,,,,,,,,,,,,,,,,
3.259,3.111,10.104,1.749,4.859,5.247,2.128,3.234,2.826,3.995,18.201,11.474,2.774,1.680,11.024,0.511,3.685,1.425,12.095,3.696,0.363,5.044,6.824,2.708,1.339,3.505,2.163,5.707,0.663,4.909,2.731,3.912,1.311,5.855,1.463,3.518,2.561,2.063,1.658,6.794,1.663,2.951,1.952,2.290,,,,,,,,,,,,,,,
3.839,7.636,5.141,3.377,10.947,4.145,1.622,1.354,2.867,2.643,2.941,3.795,1.514,2.909,1.777,2.165,12.846,3.683,2.709,1.252,3.374,2.199,3.933,2.669,12.725,2.767,2.909,0.905,5.106,2.028,2.924,17.552,8.056,1.501,11.780,1.544,4.604,11.649,0.605,6.158,0.659,3.983,1.605,,,,,,,,,,,,,,,,
3.213,3.308,7.301,1.776,3.999,2.488,1.391,2.229,4.984,5.693,6.795,1.945,17.245,2.732,3.926,2.100,12.738,2.660,3.915,7.220,2.881,0.484,7.486,5.389,8.289,1.380,2.303,4.128,3.894,4.290,1.623,1.812,3.281,8.828,1.493,1.294,1.513,2.404,5.969,1.606,2.281,2.287,5.604,3.941,1.727,,,,,,,,,,,,,,
7.881,1.891,2.165,2.742,1.978,2.616,2.384,9.455,23.621,2.046,5.924,2.059,2.272,12.511,0.654,12.764,0.606,4.509,5.560,3.744,2.390,2.336,2.736,1.463,3.764,1.719,4.916,8.661,2.684,2.035,1.427,2.171,6.623,2.806,5.206,0.605,4.044,3.231,2.539,2.912,2.926,2.815,5.145,1.679,4.157,,,,,,,,,,,,,,
4.006,3.978,4.606,5.224,1.733,5.276,2.607,2.842,2.020,1.682,2.487,3.548,1.828,5.995,1.778,4.355,2.194,4.123,0.924,9.719,2.276,1.778,0.709,2.089,4.552,2.026,3.101,1.605,2.244,1.338,5.139,2.426,13.916,0.530,4.685,1.699,2.269,5.592,0.543,3.573,2.023,4.261,1.755,0.947,,,,,,,,,,,,,,,
5.416,9.218,4.050,2.045,5.622,6.386,3.269,5.627,8.628,12.862,1.093,6.247,3.418,2.499,4.686,2.574,3.842,2.778,1.839,6.288,3.684,1.763,5.717,6.598,11.521,2.742,2.247,2.791,2.437,2.327,3.166,4.278,1.954,1.957,4.908,1.559,5.442,3.481,0.432,5.409,0.888,1.437,2.174,,,,,,,,,,,,,,,,
2.944,3.153,1.355,3.608,6.477,3.188,0.664,2.613,12.438,1.283,5.853,0.574,4.518,2.031,30.511,22.051,30.734,11.410,2.357,4.088,0.797,3.565,0.588,6.618,1.707,1.656,2.547,6.959,1.695,7.180,1.905,8.068,2.854,1.519,2.667,1.742,2.379,2.748,2.347,1.742,7.506,1.421,2.102,1.682,1.738,,,,,,,,,,,,,,
7.462,11.585,2.609,16.472,30.760,2.556,5.468,3.706,4.884,13.394,5.242,1.266,11.618,8.506,14.168,2.164,3.132,3.239,5.037,7.670,1.014,1.914,3.650,5.019,2.329,2.883,0.849,6.057,4.102,14.198,1.400,0.579,6.237,11.347,3.721,8.556,2.455,1.257,3.089,3.045,2.503,4.362,1.409,,,,,,,,,,,,,,,,
3.373,2.691,2.615,4.483,3.100,13.139,1.434,4.609,3.334,3.184,11.791,3.756,0.880,2.987,4.338,2.493,3.479,2.845,2.293,3.046,2.649,8.903,2.343,10.219,1.604,2.682,1.371,6.762,2.642,1.244,5.110,3.914,0.756,2.638,6.788,0.419,1.653,6.020,2.943,2.056,2.868,3.392,0.973,,,,,,,,,,,,,,,,
5.065,3.135,3.320,4.642,7.739,3.049,4.500,5.458,3.608,1.625,4.421,5.657,1.786,10.051,3.078,2.093,2.187,4.266,7.684,6.162,3.054,5.497,8.575,0.475,3.213,0.500,4.305,2.543,3.331,2.976,1.514,7.239,2.660,2.786,3.258,1.314,3.529,2.975,1.914,2.704,3.599,2.831,2.101,,,,,,,,,,,,,,,,
6.876,8.125,4.644,11.966,4.022,4.301,0.650,10.060,3.458,0.637,13.505,9.545,3.028,8.526,2.338,8.226,2.609,14.412,3.940,3.378,3.061,1.654,3.484,2.855,4.212,5.366,1.301,3.481,2.235,4.894,0.727,3.692,8.908,3.176,1.612,6.975,2.597,5.512,0.311,5.326,1.932,3.251,2.005,,,,,,,,,,,,,,,,
6.445,2.838,8.987,5.254,3.562,3.471,5.691,1.979,4.275,5.048,2.260,2.336,3.773,1.366,1.573,1.914,2.631,5.872,4.596,10.395,4.390,8.075,2.839,6.476,1.268,2.231,4.673,3.260,2.545,4.449,5.477,1.326,6.064,8.622,2.509,1.070,3.037,3.930,1.668,5.327,4.770,5.490,0.682,4.379,1.115,,,,,,,,,,,,,,
12.977,1.260,3.406,6.210,3.231,9.470,19.111,6.300,2.321,12.810,2.478,2.654,1.988,1.173,1.072,5.318,1.515,22.447,3.269,6.519,1.053,2.622,2.523,9.155,3.646,18.535,2.632,5.914,3.006,3.288,2.338,28.431,2.107,1.446,32.723,1.824,0.921,3.090,1.510,9.144,0.530,1.588,1.109,,,,,,,,,,,,,,,,
9.274,4.969,4.557,1.522,3.980,11.845,1.127,11.005,0.856,12.524,10.629,3.367,8.774,3.575,2.029,2.974,1.704,1.846,5.706,12.640,4.674,2.405,1.725,2.241,3.819,2.052,3.296,1.405,2.514,1.896,4.586,2.779,6.706,0.853,2.297,16.209,1.131,1.101,2.086,2.200,1.581,1.329,0.969,,,,,,,,,,,,,,,,
10.633,2.434,1.920,3.000,4.918,6.777,17.466,3.118,5.259,0.610,8.824,2.947,2.251,3.034,14.322,2.494,3.084,1.470,4.777,2.326,8.214,0.483,4.504,4.701,6.937,4.866,2.947,2.437,0.390,6.288,2.143,2.398,4.653,1.023,8.770,4.340,2.535,2.004,9.876,0.599,4.441,3.159,1.416,,,,,,,,,,,,,,,,
4.259,9.191,6.302,5.424,0.661,6.701,5.082,26.566,14.929,4.649,7.333,3.740,4.603,0.762,2.661,8.254,19.148,1.825,4.155,3.216,3.378,4.393,7.567,0.262,4.402,1.628,14.712,2.487,2.519,4.192,1.922,4.516,0.624,4.070,1.292,3.127,7.651,5.334,0.604,4.038,4.113,2.184,3.009,1.202,1.007,,,,,,,,,,,,,,
3.451,3.216,1.130,3.057,17.527,4.210,2.964,7.302,3.990,4.243,19.392,3.583,11.085,5.565,1.186,7.468,2.739,7.305,1.032,6.682,1.620,5.672,1.128,2.608,2.192,2.898,15.452,1.371,2.634,6.183,3.203,2.518,3.360,2.521,1.734,6.821,1.127,1.507,4.964,0.642,4.986,2.473,3.527,1.655,1.675,,,,,,,,,,,,,,
4.332,5.505,11.437,8.049,1.997,4.101,2.990,6.575,6.433,11.520,2.069,4.499,14.476,8.978,1.881,3.375,0.584,3.576,1.464,2.228,4.974,6.519,2.907,2.394,2.691,5.146,0.567,3.991,6.030,2.645,2.905,14.832,2.092,1.184,1.608,3.141,5.465,2.147,3.442,2.170,5.331,2.869,1.819,,,,,,,,,,,,,,,,
5.028,2.608,3.245,8.615,3.186,2.847,3.685,2.552,5.525,2.102,2.042,2.210,2.949,2.555,2.808,2.383,2.013,3.540,3.076,2.004,3.627,7.545,10.734,0.388,8.621,3.250,5.291,2.252,7.882,1.928,4.688,3.299,2.589,3.214,4.668,3.464,5.243,0.541,4.217,1.935,4.510,2.379,1.323,,,,,,,,,,,,,,,,
9.275,5.755,4.970,2.898,2.306,8.139,2.166,3.523,3.469,5.980,1.632,8.977,0.361,4.263,4.997,7.242,1.538,13.821,1.596,3.603,1.763,2.859,3.354,2.848,2.795,1.366,5.355,0.361,3.291,1.211,0.956,1.979,3.260,2.775,0.486,2.794,2.958,1.908,5.300,0.390,2.101,3.583,2.253,,,,,,,,,,,,,,,,
