date,times
1/23/2023,00:00
1/24/2023,00:01
1/25/2023,00:00
2/2/2023,00:04
2/3/2023,00:05
2/4/2023,00:05
2/5/2023,00:00
2/6/2023,00:03
2/7/2023,00:00
2/9/2023,00:00
2/10/2023,00:00
2/12/2023,00:00
3/1/2023,00:07
3/3/2023,00:00
3/4/2023,00:00
3/6/2023,00:00
3/7/2023,00:05
3/8/2023,00:06
3/9/2023,00:00
3/10/2023,00:00
3/12/2023,00:00
3/13/2023,00:00
3/14/2023,00:12
3/16/2023,00:00
3/17/2023,00:11
3/19/2023,00:00
3/21/2023,00:00
3/24/2023,00:00
3/27/2023,00:13
3/29/2023,00:00
4/2/2023,00:00
4/3/2023,00:00
4/12/2023,00:04
4/13/2023,00:02
4/15/2023,00:00
4/17/2023,00:00
4/19/2023,00:00
4/20/2023,00:00
4/21/2023,00:00
4/24/2023,00:06
4/25/2023,00:03
4/27/2023,00:00
5/1/2023,00:07
5/12/2023,00:06
5/18/2023,00:12
5/14/2023,00:04
5/21/2023,00:18
5/23/2023,00:15
5/25/2023,00:16
5/28/2023,00:00
6/21/2023,00:05
6/27/2023,00:07
6/29/2023,00:13
7/3/2023,00:00
7/6/2023,00:00
7/18/2023,00:00
7/19/2023,00:09
7/24/2023,00:07
8/13/2023,00:00
8/14/2023,00:05
8/15/2023,00:00
8/16/2023,00:01
9/1/2023,00:00
9/5/2023,00:03
9/6/2023,00:12
10/1/2023,00:13
10/2/2023,00:01
10/6/2023,00:03
10/7/2023,00:02
10/11/2023,00:07
10/13/2023,00:05
10/16/2023,00:00
10/21/2023,00:04
10/25/2023,00:00
10/31/2023,00:14
11/1/2023,00:02
12/3/2023,00:02
12/4/2023,00:15
12/20/2023,00:06
1/2/2024,00:02
1/3/2024,00:02
1/5/2024,00:05
1/8/2024,00:04
1/11/2024,00:00
1/12/2024,00:02
1/15/2024,00:53
1/21/2024,00:07
1/22/2024,00:05
2/3/2024,00:05
2/12/2024,00:00
2/19/2024,00:05
2/20/2024,00:05
2/21/2024,00:05
2/23/2024,00:08
2/24/2024,00:09
2/25/2024,00:31
2/26/2024,00:58
2/27/2024,00:02
2/28/2024,00:06
3/1/2024,00:02
